screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
22164,bad,0,1,cache,this app doesn't even deserve one star but i had to give it one to make a review. my review;; NEVER DOWNLOAD THIS. ITS HORRIBLE PLEASE TRUST ME.,28,0.0089,0.9823,negative,"Text, Text Button, Icon","▁star, ▁app, ▁one",0.18036212027072906,0.07100730389356613,0.10935481637716293,0.20687620341777802,1.0,"Icon, Text Button, Text",0.10935481637716293
22164,bad,1,0,cache,THIS IS BY FAR THE WORST APP I HAVE EVER INSTALLED. ITS PUTS YOUR FACE  ON SOMEONE ELSE'S BODY AND DOESN'T LET YOU CHANGE THE SIZE. TOO MANY ADS. KEEPS TAKING ME TO FACEBOOK PAGE,35,0.0118,0.9579,negative,"Text, Text Button, Icon","▁BY, ▁IS, ▁I",0.18047848343849182,0.06957507133483887,0.11090341210365295,0.20633496344089508,1.0,"Icon, Text Button, Text",0.11090341210365295
22164,bad,2,8,cache,"You can't choose the hairstyles. They give you random hairstyles where you have to click forward or backwards to see other options and once you click forwards three or four times, it loads a video ad that you can't get out of until it finishes. DON'T DOWNLOAD THIS APP!! IT'S RIDICULOUS.",51,0.0183,0.9412,negative,"Text Button, Text, Icon","▁hairstyles, ▁You, ▁finishes",0.25830891728401184,0.10691701620817184,0.15139190107584,0.21253076195716858,1.0,"Icon, Text Button, Text",0.15139190107584
22164,bad,3,7,cache,"The ads are ridiculous.  I understand needing sponsors to keep the app free, but it's ridiculous the amount this has. Be careful clicking to quickly because you'll be redirected to the ad or playstore. Doesn't give you the option of what style to try, just horribly places your face on someone else picture with awful outfits, head pieces, and unnatural back grounds. Gives you no sense of what you'd actually look like with said hairstyle. awful design layout.  Just don't even waste your time.",84,0.0202,0.963,negative,"Text Button, Text, Icon","▁layout, ▁the, t",0.3004927635192871,0.1258252114057541,0.17466755211353302,0.2094508558511734,1.0,"Icon, Text Button, Text",0.17466755211353302
22164,bad,4,3,cache,"I don't want my head on someone else's body, that doesn't match my skin tone! Face blows up too big does not work! Hairstyles, YUCK!",25,0.0259,0.9101,negative,"Text, Text Button, Icon","▁I, ▁tone, ▁Hairstyles",0.222767174243927,0.09399783611297607,0.12876933813095093,0.1995605230331421,1.0,"Icon, Text Button, Text",0.12876933813095093
22165,bad,0,1,cache,this app doesn't even deserve one star but i had to give it one to make a review. my review;; NEVER DOWNLOAD THIS. ITS HORRIBLE PLEASE TRUST ME.,28,0.0089,0.9823,negative,"Background Image, Icon","▁star, ▁app, ▁one",0.004943083506077528,0.08176103979349136,0.07681795628741384,0.39034998416900635,1.0,"Background Image, Icon",0.07681795628741384
22165,bad,1,0,cache,THIS IS BY FAR THE WORST APP I HAVE EVER INSTALLED. ITS PUTS YOUR FACE  ON SOMEONE ELSE'S BODY AND DOESN'T LET YOU CHANGE THE SIZE. TOO MANY ADS. KEEPS TAKING ME TO FACEBOOK PAGE,35,0.0118,0.9579,negative,"Background Image, Icon","▁BY, ▁IS, ▁I",0.0047325873747467995,0.08063222467899323,0.07589963730424643,0.39131420850753784,1.0,"Background Image, Icon",0.07589963730424643
22165,bad,2,8,cache,"You can't choose the hairstyles. They give you random hairstyles where you have to click forward or backwards to see other options and once you click forwards three or four times, it loads a video ad that you can't get out of until it finishes. DON'T DOWNLOAD THIS APP!! IT'S RIDICULOUS.",51,0.0183,0.9412,negative,"Background Image, Icon","▁hairstyles, ▁You, ▁finishes",0.006465220358222723,0.09967921674251556,0.09321399638429284,0.3787214457988739,1.0,"Background Image, Icon",0.09321399638429284
22165,bad,3,7,cache,"The ads are ridiculous.  I understand needing sponsors to keep the app free, but it's ridiculous the amount this has. Be careful clicking to quickly because you'll be redirected to the ad or playstore. Doesn't give you the option of what style to try, just horribly places your face on someone else picture with awful outfits, head pieces, and unnatural back grounds. Gives you no sense of what you'd actually look like with said hairstyle. awful design layout.  Just don't even waste your time.",84,0.0202,0.963,negative,"Background Image, Icon","▁layout, ▁the, t",0.007300427183508873,0.10987021774053574,0.10256979055702686,0.3739144504070282,1.0,"Background Image, Icon",0.10256979055702686
22165,bad,4,3,cache,"I don't want my head on someone else's body, that doesn't match my skin tone! Face blows up too big does not work! Hairstyles, YUCK!",25,0.0259,0.9101,negative,"Background Image, Icon","▁I, ▁tone, ▁Hairstyles",0.005447514820843935,0.08787930756807327,0.08243179274722934,0.38770660758018494,1.0,"Background Image, Icon",0.08243179274722934
22166,bad,0,1,cache,this app doesn't even deserve one star but i had to give it one to make a review. my review;; NEVER DOWNLOAD THIS. ITS HORRIBLE PLEASE TRUST ME.,28,0.0089,0.9823,negative,"Icon, Web View, Background Image","▁star, ▁app, ▁one",0.0102264154702425,0.06923036277294159,0.05900394730269909,0.442546546459198,1.0,"Image, Icon, Icon",0.01346413791179657
22166,bad,1,0,cache,THIS IS BY FAR THE WORST APP I HAVE EVER INSTALLED. ITS PUTS YOUR FACE  ON SOMEONE ELSE'S BODY AND DOESN'T LET YOU CHANGE THE SIZE. TOO MANY ADS. KEEPS TAKING ME TO FACEBOOK PAGE,35,0.0118,0.9579,negative,"Icon, Web View, Background Image","▁BY, ▁IS, ▁I",0.009566816501319408,0.0680118203163147,0.05844500381499529,0.4595220983028412,1.0,"Image, Icon, Icon",0.012357891537249088
22166,bad,2,8,cache,"You can't choose the hairstyles. They give you random hairstyles where you have to click forward or backwards to see other options and once you click forwards three or four times, it loads a video ad that you can't get out of until it finishes. DON'T DOWNLOAD THIS APP!! IT'S RIDICULOUS.",51,0.0183,0.9412,negative,"Icon, Web View, Background Image","▁hairstyles, ▁You, ▁finishes",0.014458163641393185,0.08718856424093246,0.07273040059953928,0.435674786567688,1.0,"Image, Icon, Icon",0.018723183311522007
22166,bad,3,7,cache,"The ads are ridiculous.  I understand needing sponsors to keep the app free, but it's ridiculous the amount this has. Be careful clicking to quickly because you'll be redirected to the ad or playstore. Doesn't give you the option of what style to try, just horribly places your face on someone else picture with awful outfits, head pieces, and unnatural back grounds. Gives you no sense of what you'd actually look like with said hairstyle. awful design layout.  Just don't even waste your time.",84,0.0202,0.963,negative,"Icon, Web View, Background Image","▁layout, ▁the, t",0.0164374727755785,0.09617182612419128,0.07973435334861279,0.42787039279937744,1.0,"Image, Icon, Icon",0.020966852083802223
22166,bad,4,3,cache,"I don't want my head on someone else's body, that doesn't match my skin tone! Face blows up too big does not work! Hairstyles, YUCK!",25,0.0259,0.9101,negative,"Icon, Web View, Background Image","▁I, ▁tone, ▁Hairstyles",0.011663801036775112,0.07526148110628128,0.06359768006950617,0.4482787251472473,1.0,"Image, Icon, Icon",0.015971832908689976
22167,bad,0,1,cache,this app doesn't even deserve one star but i had to give it one to make a review. my review;; NEVER DOWNLOAD THIS. ITS HORRIBLE PLEASE TRUST ME.,28,0.0089,0.9823,negative,"Icon, Icon, Text Button","▁star, ▁app, ▁one",0.024965723976492882,0.032826684415340424,0.007860960438847542,0.2856956422328949,1.0,"Text Button, Icon, Icon",0.007860960438847542
22167,bad,1,0,cache,THIS IS BY FAR THE WORST APP I HAVE EVER INSTALLED. ITS PUTS YOUR FACE  ON SOMEONE ELSE'S BODY AND DOESN'T LET YOU CHANGE THE SIZE. TOO MANY ADS. KEEPS TAKING ME TO FACEBOOK PAGE,35,0.0118,0.9579,negative,"Icon, Icon, Text Button","▁BY, ▁IS, ▁I",0.023292748257517815,0.031138399615883827,0.007845651358366013,0.2844604551792145,1.0,"Text Button, Icon, Icon",0.007845651358366013
22167,bad,2,8,cache,"You can't choose the hairstyles. They give you random hairstyles where you have to click forward or backwards to see other options and once you click forwards three or four times, it loads a video ad that you can't get out of until it finishes. DON'T DOWNLOAD THIS APP!! IT'S RIDICULOUS.",51,0.0183,0.9412,negative,"Icon, Icon, Text Button","▁hairstyles, ▁You, ▁finishes",0.0297137089073658,0.039527446031570435,0.009813737124204636,0.2786567211151123,1.0,"Text Button, Icon, Icon",0.009813737124204636
22167,bad,3,7,cache,"The ads are ridiculous.  I understand needing sponsors to keep the app free, but it's ridiculous the amount this has. Be careful clicking to quickly because you'll be redirected to the ad or playstore. Doesn't give you the option of what style to try, just horribly places your face on someone else picture with awful outfits, head pieces, and unnatural back grounds. Gives you no sense of what you'd actually look like with said hairstyle. awful design layout.  Just don't even waste your time.",84,0.0202,0.963,negative,"Icon, Icon, Text Button","▁layout, ▁the, t",0.03302400931715965,0.04413336515426636,0.011109355837106705,0.271237850189209,1.0,"Text Button, Icon, Icon",0.011109355837106705
22167,bad,4,3,cache,"I don't want my head on someone else's body, that doesn't match my skin tone! Face blows up too big does not work! Hairstyles, YUCK!",25,0.0259,0.9101,negative,"Icon, Icon, Text Button","▁I, ▁tone, ▁Hairstyles",0.026502538472414017,0.03476998955011368,0.008267451077699661,0.27753946185112,1.0,"Text Button, Icon, Icon",0.008267451077699661
22168,bad,0,1,cache,this app doesn't even deserve one star but i had to give it one to make a review. my review;; NEVER DOWNLOAD THIS. ITS HORRIBLE PLEASE TRUST ME.,28,0.0089,0.9823,negative,"Image, Web View, Web View","▁star, ▁app, ▁one",0.11924832314252853,0.05666658282279968,0.06258174031972885,0.24074700474739075,1.0,"Image, Image, Image",0.015363812446594238
22168,bad,1,0,cache,THIS IS BY FAR THE WORST APP I HAVE EVER INSTALLED. ITS PUTS YOUR FACE  ON SOMEONE ELSE'S BODY AND DOESN'T LET YOU CHANGE THE SIZE. TOO MANY ADS. KEEPS TAKING ME TO FACEBOOK PAGE,35,0.0118,0.9579,negative,"Image, Web View, Web View","▁BY, ▁IS, ▁I",0.11704116314649582,0.05511775240302086,0.06192341074347496,0.24114686250686646,1.0,"Image, Image, Image",0.015003040432929993
22168,bad,2,8,cache,"You can't choose the hairstyles. They give you random hairstyles where you have to click forward or backwards to see other options and once you click forwards three or four times, it loads a video ad that you can't get out of until it finishes. DON'T DOWNLOAD THIS APP!! IT'S RIDICULOUS.",51,0.0183,0.9412,negative,"Image, Web View, Web View","▁hairstyles, ▁You, ▁finishes",0.16503514349460602,0.08106701821088791,0.08396812528371811,0.21960124373435974,1.0,"Image, Image, Image",0.000959053635597229
22168,bad,3,7,cache,"The ads are ridiculous.  I understand needing sponsors to keep the app free, but it's ridiculous the amount this has. Be careful clicking to quickly because you'll be redirected to the ad or playstore. Doesn't give you the option of what style to try, just horribly places your face on someone else picture with awful outfits, head pieces, and unnatural back grounds. Gives you no sense of what you'd actually look like with said hairstyle. awful design layout.  Just don't even waste your time.",84,0.0202,0.963,negative,"Image, Image, Web View","▁layout, ▁the, t",0.18974901735782623,0.1799234002828598,0.00982561707496643,0.23298805952072144,1.0,"Image, Image, Image",0.023134097456932068
22168,bad,4,3,cache,"I don't want my head on someone else's body, that doesn't match my skin tone! Face blows up too big does not work! Hairstyles, YUCK!",25,0.0259,0.9101,negative,"Image, Web View, Web View","▁I, ▁tone, ▁Hairstyles",0.1355990171432495,0.0638764277100563,0.0717225894331932,0.22547048330307007,1.0,"Image, Image, Image",0.014761976897716522
