screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
32983,bad,0,10,cache,This is a really bad app Don't download it doesn't even do anything it only speak from you it doesn't say anything about ghosts and it doesn't hear anything about girls nothing about ghosts today I want to downloaded the app I went to a haunted building and literally it didn't do nothing,53,0.0017,0.9954,negative,"Text, Text, Text","t, ▁doesn, ▁This",0.0031535911839455366,0.0054254247806966305,0.002271833596751094,0.4248344898223877,1.0,"Text Button, Text Button, Text Button",0.0020307183731347322
32983,bad,1,16,cache,it scared all of us omg I turned it off and it kept talking let's just say it's real,19,0.0025,0.9834,negative,"Text, Text, Text","▁talking, ▁all, ▁just",0.006961401551961899,0.01300194300711155,0.006040541455149651,0.3804680109024048,1.0,"Text Button, Text Button, Text Button",0.0063174450770020485
32983,bad,2,8,cache,terrible u can't even hear anything it's a lie don't get it it's a waste of time!!!! 🙄🙄 if I could I would give - ⭐ Hate this app!,29,0.0088,0.9687,negative,"Text, Text, Text","▁waste, t, ▁time",0.003759676357731223,0.006518143694847822,0.002758467337116599,0.41597479581832886,1.0,"Text Button, Text Button, Text Button",0.0024139510933309793
32983,bad,3,3,cache,For everyone who keeps say ing it bad because it record your own voice..that's what its supposed to do. The description says it makes your voice sound like a ghost..,30,0.0173,0.9581,negative,"Text, Text, Text","▁voice, ▁supposed, s",0.007697594817727804,0.014017604291439056,0.006320009473711252,0.3879063129425049,1.0,"Text Button, Text Button, Text Button",0.006027003284543753
32983,bad,4,9,cache,So bloody hard for a 10 year old boy on their nans phone. I just want a free ghost game that's good.,22,0.0182,0.762,negative,"Text, Text, Text","▁that, ▁game, ▁want",0.015548858791589737,0.031099101528525352,0.015550242736935616,0.36036136746406555,1.0,"Text Button, Text Button, Text",0.017994474619627
32984,bad,0,10,cache,This is a really bad app Don't download it doesn't even do anything it only speak from you it doesn't say anything about ghosts and it doesn't hear anything about girls nothing about ghosts today I want to downloaded the app I went to a haunted building and literally it didn't do nothing,53,0.0017,0.9954,negative,"Image, Image, Image","t, ▁doesn, ▁This",0.00018353380437474698,0.0004382095066830516,0.0002546757023083046,0.4862510859966278,1.0,"Image, Image, Image",3.201387880835682e-05
32984,bad,1,16,cache,it scared all of us omg I turned it off and it kept talking let's just say it's real,19,0.0025,0.9834,negative,"Image, Image, Image","▁talking, ▁all, ▁just",0.00041260707075707614,0.001102257752791047,0.000689650682033971,0.44831809401512146,1.0,"Image, Image, Image",6.494077388197184e-05
32984,bad,2,8,cache,terrible u can't even hear anything it's a lie don't get it it's a waste of time!!!! 🙄🙄 if I could I would give - ⭐ Hate this app!,29,0.0088,0.9687,negative,"Image, Image, Image","▁waste, t, ▁time",0.00021938933059573174,0.0005204137996770442,0.0003010244690813124,0.480724036693573,1.0,"Image, Image, Image",3.50711343344301e-05
32984,bad,3,3,cache,For everyone who keeps say ing it bad because it record your own voice..that's what its supposed to do. The description says it makes your voice sound like a ghost..,30,0.0173,0.9581,negative,"Image, Image, Image","▁voice, ▁supposed, s",0.0004750229127239436,0.0012437967816367745,0.000768773868912831,0.45541855692863464,1.0,"Image, Image, Image",5.639376468025148e-05
32984,bad,4,9,cache,So bloody hard for a 10 year old boy on their nans phone. I just want a free ghost game that's good.,22,0.0182,0.762,negative,"Image, Image, Image","▁that, ▁game, ▁want",0.0009369922918267548,0.003493797965347767,0.002556805673521012,0.4302107095718384,1.0,"Image, Image, Image",0.00011026154970750213
