screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
44733,bad,0,4,cache,"it crashed many times , when try to open Avi video ... big amount of Ads!!",16,0.0009,0.9957,negative,"Image, Text, Text","▁interface, ▁video, ▁it",0.007040412165224552,0.005423294845968485,0.0016171173192560673,0.5045759677886963,1.0,"Text, Video, Image",0.001189560629427433
44733,bad,1,2,cache,"Dont install and waste your time its crashes so many times while selecting one file only , totally useless , i dont know why developer made this type of fake app",31,0.0141,0.9596,negative,"Image, Text, Text","▁interface, ▁time, ▁your",0.006988325621932745,0.00526212016120553,0.0017262054607272148,0.485884428024292,1.0,"Text, Video, Image",0.0013236827217042446
44733,bad,2,1,cache,"Using the (nifty) file manager I was able to locate the flv file I wanted to convert. Selected it, the app started - and crashed 4 seconds later... Uninstalled.",29,0.0451,0.9099,negative,"Image, Text, Image","▁Using, ▁file, ▁started",0.018702706322073936,0.02542291022837162,0.006720203906297684,0.4400647282600403,1.0,"Text, Video, Text Button",0.07007681019604206
44733,bad,3,0,cache,"It's very good, but the low-volume possibilities of making a video are very limited and in some cases, the movie can't be played after conversion.",25,0.1924,0.7468,negative,"Image, Image, Text","▁It, ▁good, s",0.025526482611894608,0.034245312213897705,0.008718829602003098,0.4231920540332794,1.0,"Text, Video, Text Button",0.09521236643195152
44733,bad,4,5,cache,I dont understand why theres so many bad reviews?? This app works perfectly!! Plz add 48fps as a frame rate option tho.,22,0.9097,0.025,positive,"Image, Image, Text","▁app, ▁as, ▁works",0.06262041628360748,0.08039788901805878,0.017777472734451294,0.3575638234615326,1.0,"Text, Video, Text Button",0.23040486872196198
44734,bad,0,4,cache,"it crashed many times , when try to open Avi video ... big amount of Ads!!",16,0.0009,0.9957,negative,"Image, Text, Text","▁interface, ▁video, ▁it",0.03917253389954567,0.010688865557312965,0.028483668342232704,0.32937225699424744,1.0,"Image, Text, Image",0.02677379921078682
44734,bad,1,2,cache,"Dont install and waste your time its crashes so many times while selecting one file only , totally useless , i dont know why developer made this type of fake app",31,0.0141,0.9596,negative,"Image, Text, Text","▁interface, ▁time, ▁your",0.03974523767828941,0.01043266337364912,0.029312574304640293,0.3379897177219391,1.0,"Image, Text, Image",0.02753384504467249
44734,bad,2,1,cache,"Using the (nifty) file manager I was able to locate the flv file I wanted to convert. Selected it, the app started - and crashed 4 seconds later... Uninstalled.",29,0.0451,0.9099,negative,"Image, Text, Text","▁Using, ▁file, ▁started",0.11894170194864273,0.029747923836112022,0.08919377811253071,0.22391505539417267,1.0,"Image, Text, Image",0.08535740524530411
44734,bad,3,0,cache,"It's very good, but the low-volume possibilities of making a video are very limited and in some cases, the movie can't be played after conversion.",25,0.1924,0.7468,negative,"Image, Text, Text","▁It, ▁good, s",0.14934304356575012,0.036849245429039,0.11249379813671112,0.2235805094242096,1.0,"Image, Text, Image",0.10809292644262314
44734,bad,4,5,cache,I dont understand why theres so many bad reviews?? This app works perfectly!! Plz add 48fps as a frame rate option tho.,22,0.9097,0.025,positive,"Image, Text, Text","▁app, ▁as, ▁works",0.27204760909080505,0.07786490768194199,0.19418270140886307,0.17091023921966553,1.0,"Image, Text, Image",0.18413296341896057
44735,bad,0,4,cache,"it crashed many times , when try to open Avi video ... big amount of Ads!!",16,0.0009,0.9957,negative,"Text, Icon, Text","▁interface, ▁video, ▁it",0.004034636542201042,0.006525135599076748,0.0024904990568757057,0.47632309794425964,1.0,"Text, Icon, Icon",0.0011174168903380632
44735,bad,1,2,cache,"Dont install and waste your time its crashes so many times while selecting one file only , totally useless , i dont know why developer made this type of fake app",31,0.0141,0.9596,negative,"Text, Icon, Text","▁interface, ▁time, ▁your",0.003835047595202923,0.005994982551783323,0.0021599349565804005,0.5019978880882263,1.0,"Text, Icon, Icon",0.0010087576229125261
44735,bad,2,1,cache,"Using the (nifty) file manager I was able to locate the flv file I wanted to convert. Selected it, the app started - and crashed 4 seconds later... Uninstalled.",29,0.0451,0.9099,negative,"Text, Text, Icon","▁Using, ▁file, ▁started",0.011380755342543125,0.021176740527153015,0.00979598518460989,0.41724666953086853,1.0,"Text, Icon, Text",0.004511280916631222
44735,bad,3,0,cache,"It's very good, but the low-volume possibilities of making a video are very limited and in some cases, the movie can't be played after conversion.",25,0.1924,0.7468,negative,"Text, Text, Icon","▁It, ▁good, s",0.015869300812482834,0.031017115339636803,0.015147814527153969,0.41693180799484253,1.0,"Text, Icon, Text",0.006455110386013985
44735,bad,4,5,cache,I dont understand why theres so many bad reviews?? This app works perfectly!! Plz add 48fps as a frame rate option tho.,22,0.9097,0.025,positive,"Text, Text, Icon","▁app, ▁as, ▁works",0.04831289127469063,0.08985994011163712,0.04154704883694649,0.31456470489501953,1.0,"Text, Icon, Text",0.024483773857355118
44736,bad,0,4,cache,"it crashed many times , when try to open Avi video ... big amount of Ads!!",16,0.0009,0.9957,negative,Web View,"▁interface, ▁video, ▁it",0.02926689013838768,0.1163940280675888,0.08712713792920113,0.28611427545547485,1.0,Web View,0.08712713792920113
44736,bad,1,2,cache,"Dont install and waste your time its crashes so many times while selecting one file only , totally useless , i dont know why developer made this type of fake app",31,0.0141,0.9596,negative,Web View,"▁interface, ▁time, ▁your",0.026455968618392944,0.11961490660905838,0.09315893799066544,0.28958889842033386,1.0,Web View,0.09315893799066544
44736,bad,2,1,cache,"Using the (nifty) file manager I was able to locate the flv file I wanted to convert. Selected it, the app started - and crashed 4 seconds later... Uninstalled.",29,0.0451,0.9099,negative,Web View,"▁Using, ▁file, ▁started",0.07372431457042694,0.18778850138187408,0.11406418681144714,0.2300659418106079,1.0,Web View,0.11406418681144714
44736,bad,3,0,cache,"It's very good, but the low-volume possibilities of making a video are very limited and in some cases, the movie can't be played after conversion.",25,0.1924,0.7468,negative,Web View,"▁It, ▁good, s",0.10070977360010147,0.20950686931610107,0.1087970957159996,0.22381249070167542,1.0,Web View,0.1087970957159996
44736,bad,4,5,cache,I dont understand why theres so many bad reviews?? This app works perfectly!! Plz add 48fps as a frame rate option tho.,22,0.9097,0.025,positive,Web View,"▁app, ▁as, ▁works",0.2368275225162506,0.3070565462112427,0.07022902369499207,0.18208695948123932,1.0,Web View,0.07022902369499207
44737,bad,0,4,cache,"it crashed many times , when try to open Avi video ... big amount of Ads!!",16,0.0009,0.9957,negative,"Image, Image, Image","▁interface, ▁video, ▁it",0.03579229116439819,0.004383849445730448,0.031408441718667746,0.3968827426433563,1.0,"Image, Image, Web View",0.02677581738680601
44737,bad,1,2,cache,"Dont install and waste your time its crashes so many times while selecting one file only , totally useless , i dont know why developer made this type of fake app",31,0.0141,0.9596,negative,"Image, Image, Image","▁interface, ▁time, ▁your",0.03459041938185692,0.09329194575548172,0.0587015263736248,0.44041451811790466,1.0,"Image, Image, Web View",0.025848671793937683
44737,bad,2,1,cache,"Using the (nifty) file manager I was able to locate the flv file I wanted to convert. Selected it, the app started - and crashed 4 seconds later... Uninstalled.",29,0.0451,0.9099,negative,"Image, Image, Text","▁Using, ▁file, ▁started",0.11924967914819717,0.030462371185421944,0.08878730796277523,0.3469500243663788,1.0,"Image, Image, Web View",0.09308402612805367
44737,bad,3,0,cache,"It's very good, but the low-volume possibilities of making a video are very limited and in some cases, the movie can't be played after conversion.",25,0.1924,0.7468,negative,"Image, Image, Text","▁It, ▁good, s",0.1701148897409439,0.0411924384534359,0.128922451287508,0.3248812258243561,1.0,"Image, Image, Web View",0.13547592610120773
44737,bad,4,5,cache,I dont understand why theres so many bad reviews?? This app works perfectly!! Plz add 48fps as a frame rate option tho.,22,0.9097,0.025,positive,"Image, Image, Image","▁app, ▁as, ▁works",0.4130711257457733,0.1872950941324234,0.22577603161334991,0.14760778844356537,1.0,"Image, Image, Web View",0.319426029920578
44738,bad,0,4,cache,"it crashed many times , when try to open Avi video ... big amount of Ads!!",16,0.0009,0.9957,negative,"Image, Text, Icon","▁interface, ▁video, ▁it",0.03465237468481064,0.05663479492068291,0.02198242023587227,0.43458807468414307,1.0,"Text, Image, Web View",0.11732662469148636
44738,bad,1,2,cache,"Dont install and waste your time its crashes so many times while selecting one file only , totally useless , i dont know why developer made this type of fake app",31,0.0141,0.9596,negative,"Image, Text, Icon","▁interface, ▁time, ▁your",0.03457486629486084,0.05964810401201248,0.025073237717151642,0.4481523334980011,1.0,"Text, Image, Web View",0.12308146059513092
44738,bad,2,1,cache,"Using the (nifty) file manager I was able to locate the flv file I wanted to convert. Selected it, the app started - and crashed 4 seconds later... Uninstalled.",29,0.0451,0.9099,negative,"Image, Text, Icon","▁Using, ▁file, ▁started",0.07079189270734787,0.14972583949565887,0.078933946788311,0.39187419414520264,1.0,"Text, Image, Web View",0.29126230627298355
44738,bad,3,0,cache,"It's very good, but the low-volume possibilities of making a video are very limited and in some cases, the movie can't be played after conversion.",25,0.1924,0.7468,negative,"Image, Text, Image","▁It, ▁good, s",0.09229184687137604,0.0904809832572937,0.0018108636140823364,0.3878961205482483,1.0,"Text, Image, Web View",0.3424505144357681
44738,bad,4,5,cache,I dont understand why theres so many bad reviews?? This app works perfectly!! Plz add 48fps as a frame rate option tho.,22,0.9097,0.025,positive,"Image, Text, Image","▁app, ▁as, ▁works",0.16227854788303375,0.17513790726661682,0.012859359383583069,0.34703609347343445,1.0,"Text, Web View, Image",0.4505569189786911
44739,bad,0,4,cache,"it crashed many times , when try to open Avi video ... big amount of Ads!!",16,0.0009,0.9957,negative,"Image, Text Button, Icon","▁interface, ▁video, ▁it",0.014081152155995369,0.04596487805247307,0.0318837258964777,0.27353808283805847,1.0,"Icon, Text, Text",0.03584480099380016
44739,bad,1,2,cache,"Dont install and waste your time its crashes so many times while selecting one file only , totally useless , i dont know why developer made this type of fake app",31,0.0141,0.9596,negative,"Image, Text Button, Icon","▁interface, ▁time, ▁your",0.013639240525662899,0.04774943366646767,0.03411019314080477,0.25926724076271057,1.0,"Icon, Text, Icon",0.011124189011752605
44739,bad,2,1,cache,"Using the (nifty) file manager I was able to locate the flv file I wanted to convert. Selected it, the app started - and crashed 4 seconds later... Uninstalled.",29,0.0451,0.9099,negative,"Image, Text Button, Icon","▁Using, ▁file, ▁started",0.038530174642801285,0.12987850606441498,0.0913483314216137,0.22484174370765686,1.0,"Icon, Text, Text",0.014007113873958588
44739,bad,3,0,cache,"It's very good, but the low-volume possibilities of making a video are very limited and in some cases, the movie can't be played after conversion.",25,0.1924,0.7468,negative,"Image, Text Button, Icon","▁It, ▁good, s",0.05003894120454788,0.16726846992969513,0.11722952872514725,0.2116956114768982,1.0,"Icon, Text, Text",0.020461328327655792
44739,bad,4,5,cache,I dont understand why theres so many bad reviews?? This app works perfectly!! Plz add 48fps as a frame rate option tho.,22,0.9097,0.025,positive,"Image, Text Button, Icon","▁app, ▁as, ▁works",0.11620704084634781,0.3598121106624603,0.24360506981611252,0.17271287739276886,1.0,"Icon, Text, Text",0.04215458780527115
