screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
44067,bad,0,6,cache,This game is very creepy because I wanna say to her hello she say what's your name I was shocked when I realise that in angelas eyes there is something moving around that time in USA a girl has gone anywhere and in the USA news that come very weird news. Don't download this app 😭😔 and I saw the reflection that was so very weird refraction so we just decided and my sister. Say that in her eyes there is a man so don't download this game that came very weird reflection 😭😭😭😔😔😔,94,0.0028,0.9926,negative,"Image, Image, Image","▁Don, ▁interface, s",0.002571932040154934,0.0033568639773875475,0.0007849319372326136,0.4707757532596588,1.0,"Image, Image, Image",0.0019938391633331776
44067,bad,1,8,cache,"This game is darn rubbish and I think they should bring it down,this game is just like giving coat and it is very fraustrating and I don't like what they did, it's just wasting of data and time,I just wasted 54mb,if you have not download this, don't download it, it's wasting of data and time",55,0.0029,0.992,negative,"Image, Image, Image","▁don, ▁rubbish, ▁interface",0.0025469118263572454,0.0033842348493635654,0.00083732302300632,0.4801281988620758,1.0,"Image, Image, Image",0.0019608985166996717
44067,bad,2,0,cache,"Half the buttons disappeared, could only give her a chocolate and have her feed the birds. Dog waiter is super creepy. With only those two buttons available, got very boring and pointless super fast. I tried uninstalling and reinstalling, but didn't help, had same problem. I really think this is some creeper app like so many people have said.",59,0.0032,0.9897,negative,"Image, Image, Image","▁the, ▁fast, ▁feed",0.0034257632214576006,0.004453188274055719,0.0010274250525981188,0.44994738698005676,1.0,"Image, Image, Image",0.002541787689551711
44067,bad,3,11,cache,This game is absolutely terrifying but still mid. The graphics are terribly low and the problem with her eyes is still going on for me! I have been playing this for 3 years now and it's had bugs such as freezing every 5 seconds. And when I try to give her the chocolate heart everything freezes and I have to restart the app to unfreeze it. And when I talk into the mic she glitches and makes a horrifying broken robot screeching noise. And I can't turn the microphone off BC it freezes everything.,94,0.0042,0.9833,negative,"Image, Image, Image","▁noise, ▁on, ▁problem",0.003063632408156991,0.004054732620716095,0.000991100212559104,0.4674965739250183,1.0,"Image, Image, Image",0.0023777063470333815
44067,bad,4,13,cache,Omg I figured something about this app in TikTok they said this app have camera that is spy I don't believe so I downloaded the app when I was playing I felt something watching me so I went back to play store and I zoom this app profile picture to check her eyes 👁️ it look weird I do not how to explain but zoom the profile picture and check her eyes it look kind of creepy so I delete the app pls delete the app this app is spying on you guys check your little ones phone if they have the app,103,0.0052,0.9849,negative,"Image, Image, Image","▁little, ▁your, ▁not",0.0029092002660036087,0.003806961700320244,0.0008977614343166351,0.46987825632095337,1.0,"Image, Image, Image",0.002236051019281149
44068,bad,0,6,cache,This game is very creepy because I wanna say to her hello she say what's your name I was shocked when I realise that in angelas eyes there is something moving around that time in USA a girl has gone anywhere and in the USA news that come very weird news. Don't download this app 😭😔 and I saw the reflection that was so very weird refraction so we just decided and my sister. Say that in her eyes there is a man so don't download this game that came very weird reflection 😭😭😭😔😔😔,94,0.0028,0.9926,negative,"Icon, Text, Text","▁Don, ▁interface, s",0.002571932040154934,0.0061888182535767555,0.0036168862134218216,0.4707757532596588,1.0,"Image, Image, Text",0.004506038036197424
44068,bad,1,8,cache,"This game is darn rubbish and I think they should bring it down,this game is just like giving coat and it is very fraustrating and I don't like what they did, it's just wasting of data and time,I just wasted 54mb,if you have not download this, don't download it, it's wasting of data and time",55,0.0029,0.992,negative,"Icon, Text, Text","▁don, ▁rubbish, ▁interface",0.0025469118263572454,0.006067949812859297,0.0035210379865020514,0.4801281988620758,1.0,"Image, Image, Text",0.004497108282521367
44068,bad,2,0,cache,"Half the buttons disappeared, could only give her a chocolate and have her feed the birds. Dog waiter is super creepy. With only those two buttons available, got very boring and pointless super fast. I tried uninstalling and reinstalling, but didn't help, had same problem. I really think this is some creeper app like so many people have said.",59,0.0032,0.9897,negative,"Icon, Text, Text","▁the, ▁fast, ▁feed",0.0034257632214576006,0.008167608641088009,0.004741845419630408,0.44994738698005676,1.0,"Image, Image, Text",0.006025973474606872
44068,bad,3,11,cache,This game is absolutely terrifying but still mid. The graphics are terribly low and the problem with her eyes is still going on for me! I have been playing this for 3 years now and it's had bugs such as freezing every 5 seconds. And when I try to give her the chocolate heart everything freezes and I have to restart the app to unfreeze it. And when I talk into the mic she glitches and makes a horrifying broken robot screeching noise. And I can't turn the microphone off BC it freezes everything.,94,0.0042,0.9833,negative,"Icon, Text, Text","▁noise, ▁on, ▁problem",0.003063632408156991,0.0074375648982822895,0.0043739324901252985,0.4674965739250183,1.0,"Image, Image, Text",0.005328967934474349
44068,bad,4,13,cache,Omg I figured something about this app in TikTok they said this app have camera that is spy I don't believe so I downloaded the app when I was playing I felt something watching me so I went back to play store and I zoom this app profile picture to check her eyes 👁️ it look weird I do not how to explain but zoom the profile picture and check her eyes it look kind of creepy so I delete the app pls delete the app this app is spying on you guys check your little ones phone if they have the app,103,0.0052,0.9849,negative,"Icon, Text, Text","▁little, ▁your, ▁not",0.0029092002660036087,0.007179342210292816,0.0042701419442892075,0.46987825632095337,1.0,"Image, Image, Text",0.004997223615646362
