screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
19558,bad,0,0,cache,"Whenever I put in a picture, it zooms in way too much and can't tell who that person looked like. The app kept crashing about 3 times in a row after inserting a picture.",34,0.0041,0.9848,negative,"Background Image, Icon, Icon","▁like, ▁Whenever, ▁zoom",0.0020300797186791897,0.027788368985056877,0.025758289266377687,0.49285611510276794,1.0,"Icon, Background Image, Icon",0.025758289266377687
19558,bad,1,7,cache,Don't like it every time you Try to take a picture of yourself it Always comes out upside down,19,0.0047,0.9758,negative,"Background Image, Icon, Icon","▁interface, ▁take, ▁Always",0.0019857631996273994,0.026615140959620476,0.024629377759993076,0.49023160338401794,1.0,"Icon, Background Image, Icon",0.024629377759993076
19558,bad,2,8,cache,It sucked when I took a picture it rotated and it did not let me take another one,18,0.0057,0.9642,negative,"Background Image, Icon, Icon","▁another, ▁interface, ▁It",0.0018376617226749659,0.025269316509366035,0.02343165478669107,0.4918997287750244,1.0,"Icon, Background Image, Icon",0.02343165478669107
19558,bad,3,4,cache,The app crashed and we cant modify the size and the position of a picture picked in the galery,19,0.0124,0.855,negative,"Background Image, Icon, Icon","▁and, ▁a, ▁modify",0.0017951534828171134,0.024854594841599464,0.02305944135878235,0.4943133294582367,1.0,"Icon, Background Image, Icon",0.02305944135878235
19558,bad,4,2,cache,This is bad if you load a picture the picture would be facing the right place and if you take a picture it's upside down,25,0.0288,0.9375,negative,"Background Image, Icon, Icon","▁interface, ▁This, ▁facing",0.0021664495579898357,0.029231464490294456,0.02706501493230462,0.49169009923934937,1.0,"Icon, Background Image, Icon",0.02706501493230462
19559,bad,0,0,cache,"Whenever I put in a picture, it zooms in way too much and can't tell who that person looked like. The app kept crashing about 3 times in a row after inserting a picture.",34,0.0041,0.9848,negative,"Image, Background Image","▁like, ▁Whenever, ▁zoom",0.0024017971009016037,0.02469675987958908,0.022294962778687477,0.6076275706291199,1.0,"Background Image, Image",0.022294962778687477
19559,bad,1,7,cache,Don't like it every time you Try to take a picture of yourself it Always comes out upside down,19,0.0047,0.9758,negative,"Image, Background Image","▁interface, ▁take, ▁Always",0.0023168206680566072,0.023542337119579315,0.021225516451522708,0.6013082265853882,1.0,"Background Image, Image",0.021225516451522708
19559,bad,2,8,cache,It sucked when I took a picture it rotated and it did not let me take another one,18,0.0057,0.9642,negative,"Background Image, Image","▁another, ▁interface, ▁It",0.002135281218215823,0.022358793765306473,0.02022351254709065,0.5995997190475464,1.0,"Background Image, Image",0.02022351254709065
19559,bad,3,4,cache,The app crashed and we cant modify the size and the position of a picture picked in the galery,19,0.0124,0.855,negative,"Image, Background Image","▁and, ▁a, ▁modify",0.0020756805315613747,0.021814167499542236,0.01973848696798086,0.5853137373924255,1.0,"Background Image, Image",0.01973848696798086
19559,bad,4,2,cache,This is bad if you load a picture the picture would be facing the right place and if you take a picture it's upside down,25,0.0288,0.9375,negative,"Image, Background Image","▁interface, ▁This, ▁facing",0.002566528506577015,0.02595560997724533,0.023389081470668316,0.6040675044059753,1.0,"Background Image, Image",0.023389081470668316
19560,bad,0,0,cache,"Whenever I put in a picture, it zooms in way too much and can't tell who that person looked like. The app kept crashing about 3 times in a row after inserting a picture.",34,0.0041,0.9848,negative,"Icon, Text, Icon","▁like, ▁Whenever, ▁zoom",0.13192963600158691,0.37142834067344666,0.23949870467185974,0.38987618684768677,1.0,"Web View, Text, Icon",0.07918599992990494
19560,bad,1,7,cache,Don't like it every time you Try to take a picture of yourself it Always comes out upside down,19,0.0047,0.9758,negative,"Icon, Text, Icon","▁interface, ▁take, ▁Always",0.13232114911079407,0.3511328399181366,0.21881169080734253,0.37655818462371826,1.0,"Web View, Text, Icon",0.08164165169000626
19560,bad,2,8,cache,It sucked when I took a picture it rotated and it did not let me take another one,18,0.0057,0.9642,negative,"Icon, Text, Icon","▁another, ▁interface, ▁It",0.1246778666973114,0.3331911265850067,0.2085132598876953,0.3627539575099945,1.0,"Web View, Text, Icon",0.07651762291789055
19560,bad,3,4,cache,The app crashed and we cant modify the size and the position of a picture picked in the galery,19,0.0124,0.855,negative,"Icon, Text, Icon","▁and, ▁a, ▁modify",0.11718635261058807,0.33157896995544434,0.21439261734485626,0.3488919138908386,1.0,"Web View, Text, Icon",0.07070303335785866
19560,bad,4,2,cache,This is bad if you load a picture the picture would be facing the right place and if you take a picture it's upside down,25,0.0288,0.9375,negative,"Icon, Text, Icon","▁interface, ▁This, ▁facing",0.13985209167003632,0.37516695261001587,0.23531486093997955,0.3923591375350952,1.0,"Web View, Text, Icon",0.08514900133013725
19561,bad,0,0,cache,"Whenever I put in a picture, it zooms in way too much and can't tell who that person looked like. The app kept crashing about 3 times in a row after inserting a picture.",34,0.0041,0.9848,negative,"Text, Text, Text","▁like, ▁Whenever, ▁zoom",0.08736660331487656,0.07546059042215347,0.011906012892723083,0.23941071331501007,1.0,"Text Button, Input, Text",0.040348876267671585
19561,bad,1,7,cache,Don't like it every time you Try to take a picture of yourself it Always comes out upside down,19,0.0047,0.9758,negative,"Text, Text, Text","▁interface, ▁take, ▁Always",0.08176807314157486,0.19461341202259064,0.11284533888101578,0.23115037381649017,1.0,"Text Button, Input, Text",0.03678854554891586
19561,bad,2,8,cache,It sucked when I took a picture it rotated and it did not let me take another one,18,0.0057,0.9642,negative,"Text, Text, Text","▁another, ▁interface, ▁It",0.07198604196310043,0.17133919894695282,0.09935315698385239,0.23960261046886444,1.0,"Text Button, Input, Text",0.03197988122701645
19561,bad,3,4,cache,The app crashed and we cant modify the size and the position of a picture picked in the galery,19,0.0124,0.855,negative,"Text, Text, Text","▁and, ▁a, ▁modify",0.06443466246128082,0.05506269633769989,0.009371966123580933,0.2449038177728653,1.0,"Text Button, Input, Text",0.027634084224700928
19561,bad,4,2,cache,This is bad if you load a picture the picture would be facing the right place and if you take a picture it's upside down,25,0.0288,0.9375,negative,"Text, Text, Text","▁interface, ▁This, ▁facing",0.09747199714183807,0.08546310663223267,0.012008890509605408,0.2353508472442627,1.0,"Text Button, Input, Text",0.045189112424850464
19562,bad,0,0,cache,"Whenever I put in a picture, it zooms in way too much and can't tell who that person looked like. The app kept crashing about 3 times in a row after inserting a picture.",34,0.0041,0.9848,negative,"Icon, Icon, Text Button","▁like, ▁Whenever, ▁zoom",0.004786361940205097,0.003378519555553794,0.0014078423846513033,0.3501601815223694,1.0,"Text Button, Icon, Icon",0.0014078423846513033
19562,bad,1,7,cache,Don't like it every time you Try to take a picture of yourself it Always comes out upside down,19,0.0047,0.9758,negative,"Icon, Icon, Text Button","▁interface, ▁take, ▁Always",0.0045656305737793446,0.003232398768886924,0.0013332318048924208,0.34283676743507385,1.0,"Text Button, Icon, Icon",0.0013332318048924208
19562,bad,2,8,cache,It sucked when I took a picture it rotated and it did not let me take another one,18,0.0057,0.9642,negative,"Icon, Icon, Text Button","▁another, ▁interface, ▁It",0.0042403084225952625,0.002992184367030859,0.0012481240555644035,0.34644508361816406,1.0,"Text Button, Icon, Icon",0.0012481240555644035
19562,bad,3,4,cache,The app crashed and we cant modify the size and the position of a picture picked in the galery,19,0.0124,0.855,negative,"Icon, Icon, Text Button","▁and, ▁a, ▁modify",0.003812510287389159,0.002680182456970215,0.0011323278304189444,0.3630754053592682,1.0,"Text Button, Icon, Icon",0.0011323278304189444
19562,bad,4,2,cache,This is bad if you load a picture the picture would be facing the right place and if you take a picture it's upside down,25,0.0288,0.9375,negative,"Icon, Icon, Text Button","▁interface, ▁This, ▁facing",0.005180953536182642,0.003669226774945855,0.0015117267612367868,0.3480789363384247,1.0,"Text Button, Icon, Icon",0.0015117267612367868
19563,bad,0,0,cache,"Whenever I put in a picture, it zooms in way too much and can't tell who that person looked like. The app kept crashing about 3 times in a row after inserting a picture.",34,0.0041,0.9848,negative,"Text, Icon, Text Button","▁like, ▁Whenever, ▁zoom",0.007210791576653719,0.004271618090569973,0.002939173486083746,0.45216062664985657,1.0,"Icon, Text Button, Text",0.002939173486083746
19563,bad,1,7,cache,Don't like it every time you Try to take a picture of yourself it Always comes out upside down,19,0.0047,0.9758,negative,"Text, Icon, Text Button","▁interface, ▁take, ▁Always",0.007235695142298937,0.004089710768312216,0.003145984373986721,0.42606019973754883,1.0,"Icon, Text Button, Text",0.003145984373986721
19563,bad,2,8,cache,It sucked when I took a picture it rotated and it did not let me take another one,18,0.0057,0.9642,negative,"Text, Icon, Text Button","▁another, ▁interface, ▁It",0.0067326887510716915,0.0038301744498312473,0.002902514301240444,0.43406349420547485,1.0,"Icon, Text Button, Text",0.002902514301240444
19563,bad,3,4,cache,The app crashed and we cant modify the size and the position of a picture picked in the galery,19,0.0124,0.855,negative,"Text, Icon, Text Button","▁and, ▁a, ▁modify",0.0060330103151500225,0.003481565974652767,0.0025514443404972553,0.4428601861000061,1.0,"Icon, Text Button, Text",0.0025514443404972553
19563,bad,4,2,cache,This is bad if you load a picture the picture would be facing the right place and if you take a picture it's upside down,25,0.0288,0.9375,negative,"Text, Icon, Text Button","▁interface, ▁This, ▁facing",0.007761138491332531,0.004475312773138285,0.0032858257181942463,0.4205172061920166,1.0,"Icon, Text Button, Text",0.0032858257181942463
