screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
7933,bad,0,3,cache,I can't use this app even I am a Korean. Not worth it. Asking for all kind of permission and access.,21,0.0028,0.9825,negative,"Text Button, Text","▁Korean, ▁it, ▁and",0.6105063557624817,0.5485880374908447,0.06191831827163696,0.2222200334072113,1.0,"Text Button, Text",0.06191831827163696
7933,bad,1,1,cache,"해외인데 핸드폰번호 인증이 안돼네요.. 한국번호야만 가능한지? 국가번호란도 없고. Can't do the mobile number verification.. plus, the T&C contents and the verification instructions in Korean would not be comprehensible for non-Korean speakers.",31,0.0085,0.9783,negative,"Text Button, Text","▁speakers, ▁instructions, 번",0.6734977960586548,0.641268789768219,0.03222900629043579,0.22378084063529968,1.0,"Text Button, Text",0.03222900629043579
7933,bad,2,4,cache,"Without membership, it's not moving to next step and during registration of membership, I didn't receive any code to verify the mobile number.",23,0.009,0.5966,negative,"Text Button, Text","▁to, ▁it, ▁interface",0.6514015197753906,0.616014301776886,0.03538721799850464,0.23056752979755402,1.0,"Text Button, Text",0.03538721799850464
7933,bad,3,0,cache,한국사람이어도 해외에 살아서 한국 핸드폰 없으면 인증 못해서 사용 못하네요. 그럴꺼면 왜 해외계정에서 다운받을 수 있게 해놓은거죠? Waste of my time when baby is crying and needed a baby crying analysis. To use this app you need a Korean mobile to register. Dont waste your time downloading and trying to get this work.0,53,0.1056,0.6566,negative,"Text Button, Text","▁analysis, ▁crying, ▁한국",0.7797762751579285,0.7772852182388306,0.0024910569190979004,0.23785169422626495,1.0,"Text Button, Text",0.0024910569190979004
7933,bad,4,-1,raw,Poorly designed app. This app is in foreign language and should only be available to Japanese region.,17,0.0024,0.9958,negative,"Text Button, Text","▁Poorly, ▁interface, ▁region",0.5928584337234497,0.5048462748527527,0.08801215887069702,0.2119665890932083,1.0,"Text Button, Text",0.08801215887069702
7934,bad,0,3,cache,I can't use this app even I am a Korean. Not worth it. Asking for all kind of permission and access.,21,0.0028,0.9825,negative,"Image, Text, Web View","▁Korean, ▁it, ▁and",0.03354432061314583,0.040038321167230606,0.006494000554084778,0.2713465094566345,1.0,"Text Button, Web View, Web View",0.012117240577936172
7934,bad,1,1,cache,"해외인데 핸드폰번호 인증이 안돼네요.. 한국번호야만 가능한지? 국가번호란도 없고. Can't do the mobile number verification.. plus, the T&C contents and the verification instructions in Korean would not be comprehensible for non-Korean speakers.",31,0.0085,0.9783,negative,"Image, Text, Text","▁speakers, ▁instructions, 번",0.04254667088389397,0.07832184433937073,0.03577517345547676,0.27600109577178955,1.0,"Text Button, Web View, Web View",0.011110741645097733
7934,bad,2,4,cache,"Without membership, it's not moving to next step and during registration of membership, I didn't receive any code to verify the mobile number.",23,0.009,0.5966,negative,"Image, Text, Web View","▁to, ▁it, ▁interface",0.03840372711420059,0.05137642100453377,0.012972693890333176,0.3031604290008545,1.0,"Text Button, Web View, Web View",0.012397604063153267
7934,bad,3,0,cache,한국사람이어도 해외에 살아서 한국 핸드폰 없으면 인증 못해서 사용 못하네요. 그럴꺼면 왜 해외계정에서 다운받을 수 있게 해놓은거죠? Waste of my time when baby is crying and needed a baby crying analysis. To use this app you need a Korean mobile to register. Dont waste your time downloading and trying to get this work.0,53,0.1056,0.6566,negative,"Image, Text, Text","▁analysis, ▁crying, ▁한국",0.05672759562730789,0.1168222576379776,0.06009466201066971,0.24889829754829407,1.0,"Text Button, Web View, Text Button",0.04897297918796539
7934,bad,4,-1,raw,Poorly designed app. This app is in foreign language and should only be available to Japanese region.,17,0.0024,0.9958,negative,"Image, Text, Web View","▁Poorly, ▁interface, ▁region",0.032370973378419876,0.03758054971694946,0.005209576338529587,0.30190014839172363,1.0,"Text Button, Web View, Web View",0.012685958296060562
