screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
69844,good,0,13,cache,The best daily prayer app ever. It impacted my prayer life positively. I love this app,16,0.9963,0.0006,positive,"Text, Text, Text","▁ever, ▁It, ▁interface",0.9422916173934937,0.8843528032302856,0.05793881416320801,0.3371196389198303,1.0,"Text, Text, Text",0.058328449726104736
69844,good,1,19,cache,"This app is the best prayer app that I have seen, the app is a nice app u can try it out. It helps you to align with your prayer app it was even someone that told me about this app and I love it,I would recommend it for anyone, this app deserve a five star",56,0.995,0.0009,positive,"Text, Text, Text","▁it, ▁it, ▁five",0.9367638826370239,0.8867537379264832,0.05001014471054077,0.339853435754776,1.0,"Text, Text, Text",0.04969429969787598
69844,good,2,6,cache,"I'm rating it five stars because it is a good app. a app with morning and evening prayer guidelines, and also scriptures to be memorized everyday. I really do love it. That's why I'm giving it 5. ⭐",38,0.9918,0.0013,positive,"Text, Text, Text","▁love, ▁to, ▁interface",0.9597880244255066,0.9428468346595764,0.016941189765930176,0.3604193329811096,1.0,"Text, Text, Text",0.03761255741119385
69844,good,3,15,cache,"I've been looking for an app to support my prayer life. This is a beautiful app that met my need. I enjoy reading the verses, quotes, devotional and prayers each morning and evening. The natural imagery in the photography is beautiful and even the way the app opens with the fragmented colours that change into the clearer images is so calming and beautiful. It completely draws me in. Great app.",70,0.9903,0.0014,positive,"Text, Text, Text","▁devotional, ▁quotes, ▁verses",0.9798012971878052,0.9584766626358032,0.021324634552001953,0.4038742184638977,1.0,"Text, Text, Text",0.02450430393218994
69844,good,4,2,cache,"I love these morning and evening prayers and devotions. They are reflective, not too long, not too short, but perfectly reflective. I like the 4 choices everyday of morning prayer, verse, evening prayer, etc. The screen is not overwhelming. Very simple to follow and responsive. You can save favorites. Perfect for any faith.",53,0.9713,0.0028,positive,"Text, Text, Text","▁I, ▁prayer, ▁everyday",0.970310389995575,0.9555581212043762,0.01475226879119873,0.37703490257263184,1.0,"Text, Text, Text",0.030995309352874756
69845,good,0,13,cache,The best daily prayer app ever. It impacted my prayer life positively. I love this app,16,0.9963,0.0006,positive,"Icon, Text, Text Button","▁ever, ▁It, ▁interface",0.6634043455123901,0.49261748790740967,0.17078685760498047,0.35717377066612244,1.0,"Text Button, Text, Text",0.17788416147232056
69845,good,1,19,cache,"This app is the best prayer app that I have seen, the app is a nice app u can try it out. It helps you to align with your prayer app it was even someone that told me about this app and I love it,I would recommend it for anyone, this app deserve a five star",56,0.995,0.0009,positive,"Icon, Text, Text","▁it, ▁it, ▁five",0.6511704325675964,0.5900105834007263,0.06115984916687012,0.36076822876930237,1.0,"Text Button, Text, Text",0.18888965249061584
69845,good,2,6,cache,"I'm rating it five stars because it is a good app. a app with morning and evening prayer guidelines, and also scriptures to be memorized everyday. I really do love it. That's why I'm giving it 5. ⭐",38,0.9918,0.0013,positive,"Text, Text Button, Icon","▁love, ▁to, ▁interface",0.7747378349304199,0.6408056020736694,0.1339322328567505,0.38378676772117615,1.0,"Text Button, Text, Text",0.15668082237243652
69845,good,3,15,cache,"I've been looking for an app to support my prayer life. This is a beautiful app that met my need. I enjoy reading the verses, quotes, devotional and prayers each morning and evening. The natural imagery in the photography is beautiful and even the way the app opens with the fragmented colours that change into the clearer images is so calming and beautiful. It completely draws me in. Great app.",70,0.9903,0.0014,positive,"Text Button, Icon, Text","▁devotional, ▁quotes, ▁verses",0.8841977119445801,0.8098951578140259,0.0743025541305542,0.4239698052406311,1.0,"Text Button, Text Button, Text",0.24643778800964355
69845,good,4,2,cache,"I love these morning and evening prayers and devotions. They are reflective, not too long, not too short, but perfectly reflective. I like the 4 choices everyday of morning prayer, verse, evening prayer, etc. The screen is not overwhelming. Very simple to follow and responsive. You can save favorites. Perfect for any faith.",53,0.9713,0.0028,positive,"Text, Text Button, Text","▁I, ▁prayer, ▁everyday",0.8177483081817627,0.7443624138832092,0.07338589429855347,0.38351622223854065,1.0,"Text Button, Text, Text",0.15200310945510864
