screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
22575,good,0,7,cache,"This app has probably saved my life. The interface is intuitive and clean. The functionality is helpful and does exactly what I would want it to. Mental health progress often isn't linear, but tracking things and being aware of it can be very helpful I think. I've been making entries typically multiple times a day for 6 months now and intend to continue indefinitely.",64,0.9969,0.0008,positive,"Text, Text, Text","▁progress, ▁a, ▁helpful",0.9553776979446411,0.9602587223052979,0.004881024360656738,0.4281828701496124,1.0,"Text, Text, Image",0.22295182943344116
22575,good,1,4,cache,"I have a problem with journaling, and other selfhelp apps dont catch my attention. This app has everything I need to track my moods, and the UI is so colorful and easy I cant help but be consistent. Theres a big popup that lets me record my mood on the spot. I can elaborate if I want through personalized emojis, voice, or written memos. But I don't have to. There are graphs and statistics, so my therapist and I use this as a tool to help track my high/low patterns over time. Highly recommend.",94,0.9943,0.0016,positive,"Text, Text, Text","▁on, ▁track, ▁voice",0.9695712327957153,0.965184211730957,0.004387021064758301,0.4604484438896179,1.0,"Text, Text, Image",0.14177650213241577
22575,good,2,8,cache,"I started using Daylio eight years ago or so, kept up with it for a few years and then lost track. I recently picked it back up and the newer interface feels easier to work with and manage more complexity in my day and tracking. I appreciate the thoughtfulness in this app to tracking as well as the way the moods can be interconnected and grouped to facilitate better analysis. It feels accessible and non intrusive so I can still log while I'm feeling low energy.",86,0.9927,0.0024,positive,"Text, Text, Text","▁can, ▁better, ▁tracking",0.9590162038803101,0.9713558554649353,0.012339651584625244,0.413079172372818,1.0,"Text, Text, Image",0.1964569091796875
22575,good,3,19,cache,My SAVIOR to journaling by providing several intuitive ways to journal! Absolutely love the different options for journal entries; and the fringe options aren't bad either. Would love an option for voice transcribe but doesn't affect my 10 STARS. 😉😉😉 Excellent app... Hats off to the developers; well thought out app!,51,0.9883,0.0016,positive,"Text, Text, Text","▁well, ▁off, ▁transcribe",0.9684796929359436,0.9642922878265381,0.004187405109405518,0.4718705415725708,1.0,"Text, Text, Image",0.14655661582946777
22575,good,4,5,cache,"I love this app it's really helpful! I just have a suggestion for the app that I'd love to be added. I'd love if you could add an entry that was just a note without having to add a mood; so when you click the plus, you have a ""Note"" option! Even if it's premium only (I have premium), I think that'd be super helpful! Love the app, though! Helps me a lot with my mental health. I struggle to stick to a journal and this is so easy and customizable that I actually do it daily. Thank you so much 💙",102,0.988,0.0029,positive,"Text, Text, Text","▁I, ▁lot, ▁Helps",0.9664556384086609,0.9766039252281189,0.010148286819458008,0.4264518916606903,1.0,"Text, Text, Image",0.16194021701812744
22576,good,0,7,cache,"This app has probably saved my life. The interface is intuitive and clean. The functionality is helpful and does exactly what I would want it to. Mental health progress often isn't linear, but tracking things and being aware of it can be very helpful I think. I've been making entries typically multiple times a day for 6 months now and intend to continue indefinitely.",64,0.9969,0.0008,positive,"Text, Text, Image","▁progress, ▁a, ▁helpful",0.950949490070343,0.7907406091690063,0.16020888090133667,0.4311996102333069,1.0,"Text, Text, Text",0.015518546104431152
22576,good,1,4,cache,"I have a problem with journaling, and other selfhelp apps dont catch my attention. This app has everything I need to track my moods, and the UI is so colorful and easy I cant help but be consistent. Theres a big popup that lets me record my mood on the spot. I can elaborate if I want through personalized emojis, voice, or written memos. But I don't have to. There are graphs and statistics, so my therapist and I use this as a tool to help track my high/low patterns over time. Highly recommend.",94,0.9943,0.0016,positive,"Text, Text, Image","▁on, ▁track, ▁voice",0.9678665995597839,0.8584391474723816,0.10942745208740234,0.4578167796134949,1.0,"Text, Text, Text",0.0350954532623291
22576,good,2,8,cache,"I started using Daylio eight years ago or so, kept up with it for a few years and then lost track. I recently picked it back up and the newer interface feels easier to work with and manage more complexity in my day and tracking. I appreciate the thoughtfulness in this app to tracking as well as the way the moods can be interconnected and grouped to facilitate better analysis. It feels accessible and non intrusive so I can still log while I'm feeling low energy.",86,0.9927,0.0024,positive,"Text, Text, Image","▁can, ▁better, ▁tracking",0.9536490440368652,0.8271532654762268,0.12649577856063843,0.45409074425697327,1.0,"Text, Text, Text",0.01394343376159668
22576,good,3,19,cache,My SAVIOR to journaling by providing several intuitive ways to journal! Absolutely love the different options for journal entries; and the fringe options aren't bad either. Would love an option for voice transcribe but doesn't affect my 10 STARS. 😉😉😉 Excellent app... Hats off to the developers; well thought out app!,51,0.9883,0.0016,positive,"Text, Text, Image","▁well, ▁off, ▁transcribe",0.96677565574646,0.8602333664894104,0.10654228925704956,0.4533616602420807,1.0,"Text, Text, Text",0.2127414345741272
22576,good,4,5,cache,"I love this app it's really helpful! I just have a suggestion for the app that I'd love to be added. I'd love if you could add an entry that was just a note without having to add a mood; so when you click the plus, you have a ""Note"" option! Even if it's premium only (I have premium), I think that'd be super helpful! Love the app, though! Helps me a lot with my mental health. I struggle to stick to a journal and this is so easy and customizable that I actually do it daily. Thank you so much 💙",102,0.988,0.0029,positive,"Text, Text, Image","▁I, ▁lot, ▁Helps",0.9638069868087769,0.857599675655365,0.10620731115341187,0.48831725120544434,1.0,"Text, Text, Text",0.012273728847503662
