screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
33496,bad,0,3,cache,"This app is very poor and has extremely limited features. Basically, it just puts a bad wrinkle filter and bushy hair on a photo, no AI or face sculpting. I was trying to amuse my 5 yr old, she said 'this app sucks' and she was right.",47,0.0067,0.9795,negative,"Text Button, Icon, Background Image","▁sculpting, ▁right, ▁features",0.006893802434206009,0.155654177069664,0.148760374635458,0.4269408881664276,1.0,"Icon, Text Button, Background Image",0.148760374635458
33496,bad,1,0,cache,"Recommend not to install what I think is a useless app, it shows a photo that you decorate with silly moustaches, glasses etc on.  Total waste of time, I've already uninstalled it.  You asked me to update my review of this app, sorry, my opinion is unchanged, I can do that in photoshop without installing this app.",57,0.0088,0.9712,negative,"Text Button, Icon, Background Image","▁waste, ▁moustache, ▁it",0.005778098478913307,0.13916930556297302,0.13339120708405972,0.4397946894168854,1.0,"Icon, Text Button, Background Image",0.13339120708405972
33496,bad,2,11,cache,Tried the app for 3 people and it only added some wrinkles and that's all,15,0.0106,0.8672,negative,"Text Button, Icon, Background Image","▁wrinkles, ▁some, ▁interface",0.004869059659540653,0.12362240254878998,0.11875334288924932,0.49190250039100647,1.0,"Icon, Text Button, Background Image",0.11875334288924932
33496,bad,3,4,cache,"This app is a joke.  It did not make me look one year older, instead it just made me look super wrinkled.  In its favor though, it asked for permissions during the install process and didn't freak out when I only wanted to get pictures already taken.",47,0.0282,0.948,negative,"Text Button, Icon, Background Image","▁wrinkled, ▁joke, ▁process",0.007810654584318399,0.17897816002368927,0.17116750543937087,0.44140204787254333,1.0,"Icon, Text Button, Background Image",0.17116750543937087
33496,bad,4,1,cache,"Not a big selection and can't save images to my phone. Meaning that my phone won't save the images, which is ok now as l have navigated a similar one u have and found how to use it, but still not a lot of options on the app.",48,0.0453,0.8167,negative,"Text Button, Icon, Background Image","▁Not, ▁a, ▁it",0.009544823318719864,0.20061542093753815,0.19107059761881828,0.4106382131576538,1.0,"Icon, Text Button, Background Image",0.19107059761881828
33497,bad,0,3,cache,"This app is very poor and has extremely limited features. Basically, it just puts a bad wrinkle filter and bushy hair on a photo, no AI or face sculpting. I was trying to amuse my 5 yr old, she said 'this app sucks' and she was right.",47,0.0067,0.9795,negative,"Image, Image, Text","▁sculpting, ▁right, ▁features",0.004551950376480818,0.0066380430944263935,0.0020860927179455757,0.5197820663452148,1.0,"Image, Image, Text Button",0.002804663614369929
33497,bad,1,0,cache,"Recommend not to install what I think is a useless app, it shows a photo that you decorate with silly moustaches, glasses etc on.  Total waste of time, I've already uninstalled it.  You asked me to update my review of this app, sorry, my opinion is unchanged, I can do that in photoshop without installing this app.",57,0.0088,0.9712,negative,"Image, Text, Image","▁waste, ▁moustache, ▁it",0.003825152525678277,0.005814620293676853,0.001989467767998576,0.5250347256660461,1.0,"Image, Image, Text Button",0.0022838665172457695
33497,bad,2,11,cache,Tried the app for 3 people and it only added some wrinkles and that's all,15,0.0106,0.8672,negative,"Image, Text, Image","▁wrinkles, ▁some, ▁interface",0.0031718381214886904,0.0045937043614685535,0.0014218662399798632,0.5400204658508301,1.0,"Image, Image, Text Button",0.0019901487976312637
33497,bad,3,4,cache,"This app is a joke.  It did not make me look one year older, instead it just made me look super wrinkled.  In its favor though, it asked for permissions during the install process and didn't freak out when I only wanted to get pictures already taken.",47,0.0282,0.948,negative,"Image, Image, Text","▁wrinkled, ▁joke, ▁process",0.005030764266848564,0.00755714438855648,0.0025263801217079163,0.5155847072601318,1.0,"Image, Image, Text Button",0.003102836082689464
33497,bad,4,1,cache,"Not a big selection and can't save images to my phone. Meaning that my phone won't save the images, which is ok now as l have navigated a similar one u have and found how to use it, but still not a lot of options on the app.",48,0.0453,0.8167,negative,"Image, Image, Text","▁Not, ▁a, ▁it",0.005605755373835564,0.008556838147342205,0.0029510827735066414,0.5121283531188965,1.0,"Image, Image, Text Button",0.0035091093741357327
33498,bad,0,3,cache,"This app is very poor and has extremely limited features. Basically, it just puts a bad wrinkle filter and bushy hair on a photo, no AI or face sculpting. I was trying to amuse my 5 yr old, she said 'this app sucks' and she was right.",47,0.0067,0.9795,negative,Web View,"▁sculpting, ▁right, ▁features",0.06277167797088623,0.18116427958011627,0.11839260160923004,0.3866005837917328,1.0,Web View,0.11839260160923004
33498,bad,1,0,cache,"Recommend not to install what I think is a useless app, it shows a photo that you decorate with silly moustaches, glasses etc on.  Total waste of time, I've already uninstalled it.  You asked me to update my review of this app, sorry, my opinion is unchanged, I can do that in photoshop without installing this app.",57,0.0088,0.9712,negative,Web View,"▁waste, ▁moustache, ▁it",0.060745835304260254,0.16635577380657196,0.1056099385023117,0.37729546427726746,1.0,Web View,0.1056099385023117
33498,bad,2,11,cache,Tried the app for 3 people and it only added some wrinkles and that's all,15,0.0106,0.8672,negative,Web View,"▁wrinkles, ▁some, ▁interface",0.06176932156085968,0.14309580624103546,0.08132648468017578,0.2711047828197479,1.0,Web View,0.08132648468017578
33498,bad,3,4,cache,"This app is a joke.  It did not make me look one year older, instead it just made me look super wrinkled.  In its favor though, it asked for permissions during the install process and didn't freak out when I only wanted to get pictures already taken.",47,0.0282,0.948,negative,Web View,"▁wrinkled, ▁joke, ▁process",0.0729106143116951,0.22560667991638184,0.15269606560468674,0.36858633160591125,1.0,Web View,0.15269606560468674
33498,bad,4,1,cache,"Not a big selection and can't save images to my phone. Meaning that my phone won't save the images, which is ok now as l have navigated a similar one u have and found how to use it, but still not a lot of options on the app.",48,0.0453,0.8167,negative,Web View,"▁Not, ▁a, ▁it",0.08648239076137543,0.2565245032310486,0.17004211246967316,0.3167766332626343,1.0,Web View,0.17004211246967316
