screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
67312,bad,0,0,cache,This application Bad horrible app fun face changer I can't even adjust the face nose 👃 on To the face parts it's is not easy for Me it's a challenge it's hard to manage this accurate for me sorry 😔😔😐 Don't install badass mean application keep messing screwing things up For me.sorry this application is not available Androids devices it's not Fun for us I give it a 2-1🌟🌟🌟 not expecting What I exactly what I un expected Right items on to the face,84,0.0031,0.9928,negative,"Icon, Icon, Image","▁interface, ▁not, ▁on",0.0018676130566745996,0.00048720973427407444,0.0013804033224005252,0.4390716850757599,1.0,"Image, Image, Icon",0.001361990231089294
67312,bad,1,-1,raw,Ad infested rubbish. There's even a video advert for virgin media broadband that you can't skip. Avoid like the plague.,20,0.0028,0.9771,negative,"Icon, Icon, Image","▁broadband, ▁Ad, ▁media",0.0023536270018666983,0.00060595094691962,0.0017476760549470782,0.4338970482349396,1.0,"Image, Image, Icon",0.0017004012479446828
67312,bad,2,-1,raw,This app is stupid don't download it!  It has way way to many adds! U cant even tell what is the app dont get it the makers are stupid!,29,0.0034,0.9918,negative,"Icon, Icon, Image","▁interface, ▁many, ▁U",0.0019178771181032062,0.0005020789103582501,0.001415798207744956,0.4371049702167511,1.0,"Image, Image, Icon",0.0013887127279303968
67312,bad,3,-1,raw,I download this game and then it says install and I can't even play the game because it doesn't say open. It is just a  STUPID STUPID STUPID STUPID GAME.,30,0.0036,0.9859,negative,"Icon, Icon, Image","▁play, ▁interface, ▁open",0.0019769836217164993,0.0005058173555880785,0.0014711662661284208,0.43440407514572144,1.0,"Image, Image, Icon",0.0014256643480621278
67312,bad,4,-1,raw,"rubbish because it keeps forse closing if you want to downlowd this app, then dont! it will forse close all the time and wont be able to do what you want listen to me okay! its RUBBISH",37,0.0058,0.9899,negative,"Icon, Icon, Image","▁do, ▁listen, ▁interface",0.0019721216522157192,0.0005156902479939163,0.001456431404221803,0.43711698055267334,1.0,"Image, Image, Icon",0.0014269993989728391
67313,bad,0,0,cache,This application Bad horrible app fun face changer I can't even adjust the face nose 👃 on To the face parts it's is not easy for Me it's a challenge it's hard to manage this accurate for me sorry 😔😔😐 Don't install badass mean application keep messing screwing things up For me.sorry this application is not available Androids devices it's not Fun for us I give it a 2-1🌟🌟🌟 not expecting What I exactly what I un expected Right items on to the face,84,0.0031,0.9928,negative,"Text, Text Button, Text Button","▁interface, ▁not, ▁on",0.026875728741288185,0.0171572957187891,0.009718433022499084,0.38435620069503784,1.0,"Icon, Image, Icon",0.004926837980747223
67313,bad,1,-1,raw,Ad infested rubbish. There's even a video advert for virgin media broadband that you can't skip. Avoid like the plague.,20,0.0028,0.9771,negative,"Text, Text Button, Icon","▁broadband, ▁Ad, ▁media",0.04098808020353317,0.016955623403191566,0.024032456800341606,0.3837682902812958,1.0,"Icon, Icon, Image",0.004069190472364426
67313,bad,2,-1,raw,This app is stupid don't download it!  It has way way to many adds! U cant even tell what is the app dont get it the makers are stupid!,29,0.0034,0.9918,negative,"Text, Text Button, Text Button","▁interface, ▁many, ▁U",0.027950694784522057,0.018064163625240326,0.00988653115928173,0.3895931541919708,1.0,"Icon, Image, Icon",0.0040742941200733185
67313,bad,3,-1,raw,I download this game and then it says install and I can't even play the game because it doesn't say open. It is just a  STUPID STUPID STUPID STUPID GAME.,30,0.0036,0.9859,negative,"Text, Text Button, Icon","▁play, ▁interface, ▁open",0.03195396810770035,0.012279567308723927,0.01967440079897642,0.3916013240814209,1.0,"Icon, Image, Icon",0.004014626145362854
67313,bad,4,-1,raw,"rubbish because it keeps forse closing if you want to downlowd this app, then dont! it will forse close all the time and wont be able to do what you want listen to me okay! its RUBBISH",37,0.0058,0.9899,negative,"Text, Text Button, Text Button","▁do, ▁listen, ▁interface",0.03012976609170437,0.01996530219912529,0.010164463892579079,0.38973575830459595,1.0,"Icon, Image, Icon",0.004428047686815262
