screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
67942,bad,0,1,cache,"A 30 second commercial on first start up, then froze. Then I restarted and another commercial. Instant delete!!It's Just more junk!!",21,0.0041,0.976,negative,"Web View, Image, Image","▁more, ▁start, s",0.0029161476995795965,0.04724592715501785,0.044329779455438256,0.34738439321517944,1.0,"Image, Image, Web View",0.047258625039830804
67942,bad,1,9,cache,its just a bunch of f ing advertising. I'd give it no stars if I could,16,0.0064,0.9207,negative,"Web View, Image, Image","▁just, ▁f, ▁in",0.0022506036330014467,0.03439614549279213,0.03214554185979068,0.37786436080932617,1.0,"Image, Image, Web View",0.00928524206392467
67942,bad,2,0,cache,Anyone that wants to actually pull off a prank should download gohst in photo prank.this app has adds if you click on anything 😑😤,24,0.5387,0.2541,positive,"Web View, Image, Image","▁interface, ▁should, ▁Anyone",0.004755280911922455,0.10410855710506439,0.09935327619314194,0.3152469992637634,1.0,"Image, Image, Web View",0.1303570345044136
67942,bad,3,-1,raw,Doesn't even work on nexus 4 and to top it all there's tonnes of add.,15,0.0016,0.9859,negative,"Web View, Image, Image","▁top, ▁Doesn, ▁interface",0.0022573682945221663,0.03543846309185028,0.033181094797328115,0.36947157979011536,1.0,"Image, Image, Web View",0.0095927978400141
67942,bad,4,-1,raw,all i get are stupid ads when i open the app. whats up with this not happy.,17,0.002,0.9724,negative,"Web View, Image, Image","▁interface, ▁what, ▁all",0.002458942588418722,0.03837358579039574,0.035914643201977015,0.3685932457447052,1.0,"Image, Image, Web View",0.009989092592149973
67943,bad,0,1,cache,"A 30 second commercial on first start up, then froze. Then I restarted and another commercial. Instant delete!!It's Just more junk!!",21,0.0041,0.976,negative,"Icon, Icon, Icon","▁more, ▁start, s",0.005202334839850664,0.003843690501525998,0.001358644338324666,0.3971899449825287,1.0,"Icon, Icon, Image",0.003396321088075638
67943,bad,1,9,cache,its just a bunch of f ing advertising. I'd give it no stars if I could,16,0.0064,0.9207,negative,"Icon, Icon, Icon","▁just, ▁f, ▁in",0.003637794405221939,0.002672735368832946,0.0009650590363889933,0.4195818603038788,1.0,"Icon, Icon, Image",0.0023688143119215965
67943,bad,2,0,cache,Anyone that wants to actually pull off a prank should download gohst in photo prank.this app has adds if you click on anything 😑😤,24,0.5387,0.2541,positive,"Icon, Icon, Icon","▁interface, ▁should, ▁Anyone",0.01498713530600071,0.010311808437108994,0.004675326868891716,0.3281676173210144,1.0,"Icon, Icon, Image",0.009425529278814793
67943,bad,3,-1,raw,Doesn't even work on nexus 4 and to top it all there's tonnes of add.,15,0.0016,0.9859,negative,"Icon, Icon, Icon","▁top, ▁Doesn, ▁interface",0.0037342223804444075,0.002750618616119027,0.0009836037643253803,0.41798198223114014,1.0,"Icon, Icon, Image",0.0024546284694224596
67943,bad,4,-1,raw,all i get are stupid ads when i open the app. whats up with this not happy.,17,0.002,0.9724,negative,"Icon, Icon, Icon","▁interface, ▁what, ▁all",0.00395462429150939,0.0029331243131309748,0.001021499978378415,0.4159582555294037,1.0,"Icon, Icon, Image",0.002586920280009508
67944,bad,0,1,cache,"A 30 second commercial on first start up, then froze. Then I restarted and another commercial. Instant delete!!It's Just more junk!!",21,0.0041,0.976,negative,"Text Button, Text Button","▁more, ▁start, s",0.01505214162170887,0.015548990108072758,0.0004968484863638878,0.3336789011955261,1.0,"Text Button, Text Button",0.0004968484863638878
67944,bad,1,9,cache,its just a bunch of f ing advertising. I'd give it no stars if I could,16,0.0064,0.9207,negative,"Text Button, Text Button","▁just, ▁f, ▁in",0.010931056924164295,0.011219738982617855,0.0002886820584535599,0.3518960475921631,1.0,"Text Button, Text Button",0.0002886820584535599
67944,bad,2,0,cache,Anyone that wants to actually pull off a prank should download gohst in photo prank.this app has adds if you click on anything 😑😤,24,0.5387,0.2541,positive,"Text Button, Text Button","▁interface, ▁should, ▁Anyone",0.037151094526052475,0.03895281255245209,0.0018017180263996124,0.26279744505882263,1.0,"Text Button, Text Button",0.0018017180263996124
67944,bad,3,-1,raw,Doesn't even work on nexus 4 and to top it all there's tonnes of add.,15,0.0016,0.9859,negative,"Text Button, Text Button","▁top, ▁Doesn, ▁interface",0.010967296548187733,0.011370898224413395,0.00040360167622566223,0.3463919162750244,1.0,"Text Button, Text Button",0.00040360167622566223
67944,bad,4,-1,raw,all i get are stupid ads when i open the app. whats up with this not happy.,17,0.002,0.9724,negative,"Text Button, Text Button","▁interface, ▁what, ▁all",0.011870362795889378,0.01210792362689972,0.00023756083101034164,0.3423691987991333,1.0,"Text Button, Text Button",0.00023756083101034164
67945,bad,0,1,cache,"A 30 second commercial on first start up, then froze. Then I restarted and another commercial. Instant delete!!It's Just more junk!!",21,0.0041,0.976,negative,"Text, Icon, Text Button","▁more, ▁start, s",0.036558598279953,0.01785566844046116,0.018702929839491844,0.29391124844551086,1.0,"Text Button, Icon, Text",0.018702929839491844
67945,bad,1,9,cache,its just a bunch of f ing advertising. I'd give it no stars if I could,16,0.0064,0.9207,negative,"Text, Icon, Text Button","▁just, ▁f, ▁in",0.027855535969138145,0.013645381666719913,0.014210154302418232,0.32141491770744324,1.0,"Text Button, Icon, Text",0.014210154302418232
67945,bad,2,0,cache,Anyone that wants to actually pull off a prank should download gohst in photo prank.this app has adds if you click on anything 😑😤,24,0.5387,0.2541,positive,"Text, Icon, Text Button","▁interface, ▁should, ▁Anyone",0.10966414958238602,0.04831784591078758,0.061346303671598434,0.2609308063983917,1.0,"Text Button, Icon, Text",0.061346303671598434
67945,bad,3,-1,raw,Doesn't even work on nexus 4 and to top it all there's tonnes of add.,15,0.0016,0.9859,negative,"Text, Icon, Text Button","▁top, ▁Doesn, ▁interface",0.02893316000699997,0.013907092623412609,0.01502606738358736,0.31614524126052856,1.0,"Text Button, Icon, Text",0.01502606738358736
67945,bad,4,-1,raw,all i get are stupid ads when i open the app. whats up with this not happy.,17,0.002,0.9724,negative,"Text, Icon, Text Button","▁interface, ▁what, ▁all",0.029930612072348595,0.014540470205247402,0.015390141867101192,0.31070756912231445,1.0,"Text Button, Icon, Text",0.015390141867101192
67946,bad,0,1,cache,"A 30 second commercial on first start up, then froze. Then I restarted and another commercial. Instant delete!!It's Just more junk!!",21,0.0041,0.976,negative,"Image, Image, Image","▁more, ▁start, s",0.0013004562351852655,0.005912711378186941,0.004612255143001676,0.4544675350189209,1.0,"Image, Image, Image",0.005537473829463124
67946,bad,1,9,cache,its just a bunch of f ing advertising. I'd give it no stars if I could,16,0.0064,0.9207,negative,"Image, Image, Image","▁just, ▁f, ▁in",0.000994174275547266,0.004400277975946665,0.003406103700399399,0.4613805413246155,1.0,"Image, Image, Image",0.0037331264466047287
67946,bad,2,0,cache,Anyone that wants to actually pull off a prank should download gohst in photo prank.this app has adds if you click on anything 😑😤,24,0.5387,0.2541,positive,"Image, Image, Image","▁interface, ▁should, ▁Anyone",0.003448687493801117,0.01783846877515316,0.014389781281352043,0.4147551655769348,1.0,"Image, Image, Image",0.014966905117034912
67946,bad,3,-1,raw,Doesn't even work on nexus 4 and to top it all there's tonnes of add.,15,0.0016,0.9859,negative,"Image, Image, Image","▁top, ▁Doesn, ▁interface",0.0010211411863565445,0.004607806913554668,0.003586665727198124,0.45942336320877075,1.0,"Image, Image, Image",0.0038929632864892483
67946,bad,4,-1,raw,all i get are stupid ads when i open the app. whats up with this not happy.,17,0.002,0.9724,negative,"Image, Image, Image","▁interface, ▁what, ▁all",0.0010619066888466477,0.004758976399898529,0.0036970697110518813,0.4588148891925812,1.0,"Image, Image, Image",0.004053282900713384
67947,bad,0,1,cache,"A 30 second commercial on first start up, then froze. Then I restarted and another commercial. Instant delete!!It's Just more junk!!",21,0.0041,0.976,negative,"Background Image, Icon","▁more, ▁start, s",0.001967429183423519,0.12449833005666733,0.12253090087324381,0.3598608672618866,1.0,"Icon, Background Image",0.12253090087324381
67947,bad,1,9,cache,its just a bunch of f ing advertising. I'd give it no stars if I could,16,0.0064,0.9207,negative,"Background Image, Icon","▁just, ▁f, ▁in",0.0015038091223686934,0.1086689904332161,0.1071651813108474,0.36829787492752075,1.0,"Icon, Background Image",0.1071651813108474
67947,bad,2,0,cache,Anyone that wants to actually pull off a prank should download gohst in photo prank.this app has adds if you click on anything 😑😤,24,0.5387,0.2541,positive,"Background Image, Icon","▁interface, ▁should, ▁Anyone",0.0036522108130156994,0.18513688445091248,0.18148467363789678,0.34757283329963684,1.0,"Icon, Background Image",0.18148467363789678
67947,bad,3,-1,raw,Doesn't even work on nexus 4 and to top it all there's tonnes of add.,15,0.0016,0.9859,negative,"Background Image, Icon","▁top, ▁Doesn, ▁interface",0.0015258843777701259,0.1102292463183403,0.10870336194057018,0.3673616647720337,1.0,"Icon, Background Image",0.10870336194057018
67947,bad,4,-1,raw,all i get are stupid ads when i open the app. whats up with this not happy.,17,0.002,0.9724,negative,"Background Image, Icon","▁interface, ▁what, ▁all",0.001618453417904675,0.11287475377321243,0.11125630035530776,0.36675819754600525,1.0,"Icon, Background Image",0.11125630035530776
67948,bad,0,1,cache,"A 30 second commercial on first start up, then froze. Then I restarted and another commercial. Instant delete!!It's Just more junk!!",21,0.0041,0.976,negative,"Text, Text, Image","▁more, ▁start, s",0.00178695993963629,0.005835552699863911,0.004048592760227621,0.396542489528656,1.0,"Text, Image, Text",0.0007399010937660933
67948,bad,1,9,cache,its just a bunch of f ing advertising. I'd give it no stars if I could,16,0.0064,0.9207,negative,"Text, Text, Image","▁just, ▁f, ▁in",0.0014542248100042343,0.0006771758198738098,0.0007770489901304245,0.4074519872665405,1.0,"Text, Image, Image",0.0004175313515588641
67948,bad,2,0,cache,Anyone that wants to actually pull off a prank should download gohst in photo prank.this app has adds if you click on anything 😑😤,24,0.5387,0.2541,positive,"Text, Text, Image","▁interface, ▁should, ▁Anyone",0.003278330434113741,0.0014744546497240663,0.0018038757843896747,0.3709912598133087,1.0,"Text, Text, Image",0.001613331027328968
67948,bad,3,-1,raw,Doesn't even work on nexus 4 and to top it all there's tonnes of add.,15,0.0016,0.9859,negative,"Text, Text, Image","▁top, ▁Doesn, ▁interface",0.0015064325416460633,0.0006981395999900997,0.0008082929416559637,0.3900185823440552,1.0,"Text, Image, Image",0.00042965542525053024
67948,bad,4,-1,raw,all i get are stupid ads when i open the app. whats up with this not happy.,17,0.002,0.9724,negative,"Text, Text, Image","▁interface, ▁what, ▁all",0.0015451854560524225,0.0007247452740557492,0.0008204401819966733,0.38876962661743164,1.0,"Text, Image, Text",0.0006541589391417801
67949,bad,0,1,cache,"A 30 second commercial on first start up, then froze. Then I restarted and another commercial. Instant delete!!It's Just more junk!!",21,0.0041,0.976,negative,"Text, Text Button, Text Button","▁more, ▁start, s",0.08475260436534882,0.01236092671751976,0.07239167764782906,0.20979104936122894,1.0,"Icon, Image, Icon",0.04530077055096626
67949,bad,1,9,cache,its just a bunch of f ing advertising. I'd give it no stars if I could,16,0.0064,0.9207,negative,"Text, Text Button, Text Button","▁just, ▁f, ▁in",0.0581866018474102,0.008732439018785954,0.04945416282862425,0.23667018115520477,1.0,"Icon, Icon, Image",0.03061653859913349
67949,bad,2,0,cache,Anyone that wants to actually pull off a prank should download gohst in photo prank.this app has adds if you click on anything 😑😤,24,0.5387,0.2541,positive,"Text, Text Button, Text Button","▁interface, ▁should, ▁Anyone",0.26096969842910767,0.03406280651688576,0.2269068919122219,0.14169630408287048,1.0,"Icon, Image, Icon",0.14414287358522415
67949,bad,3,-1,raw,Doesn't even work on nexus 4 and to top it all there's tonnes of add.,15,0.0016,0.9859,negative,"Text, Text Button, Text Button","▁top, ▁Doesn, ▁interface",0.06002942472696304,0.00885299313813448,0.051176431588828564,0.23482216894626617,1.0,"Icon, Icon, Image",0.03217345289885998
67949,bad,4,-1,raw,all i get are stupid ads when i open the app. whats up with this not happy.,17,0.002,0.9724,negative,"Text, Text Button, Text Button","▁interface, ▁what, ▁all",0.06428071856498718,0.009538747370243073,0.05474197119474411,0.23362046480178833,1.0,"Icon, Icon, Image",0.03465108573436737
