package_name,level,text
net.daylio,caption,net.daylio was predicted as good with average confidence 98% across 8 screens.
net.daylio,simple,"net.daylio was predicted as good with average confidence 98% across 8 screens. Across these screens, the model frequently emphasized Text components."
net.daylio,detailed,"net.daylio was predicted as good with average confidence 98% across 8 screens. Across these screens, the model frequently emphasized Text components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Text (12x), Image (3x), Input (3x). The most influential review words across screens were 'helpful', 'tracking', 'love', 'track', and 'progress'. The app belongs to the Lifestyle category and was analyzed across 8 screens."
com.dafftin.android.moon_phase,caption,com.dafftin.android.moon_phase was labeled as good with average confidence 99% across 8 screens.
com.dafftin.android.moon_phase,simple,"com.dafftin.android.moon_phase was labeled as good with average confidence 99% across 8 screens. Across these screens, the model consistently focused on Text Button components."
com.dafftin.android.moon_phase,detailed,"com.dafftin.android.moon_phase was labeled as good with average confidence 99% across 8 screens. Across these screens, the model consistently focused on Text Button components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Text Button (11x), Text (7x), Icon (3x). The most influential review words across screens were 'sky', 'features', 'day', 'phase', and 'cool'. The app belongs to the Weather category and was analyzed across 8 screens."
com.japanactivator.android.jasensei,caption,com.japanactivator.android.jasensei was classified as good with average confidence 97% across 8 screens.
com.japanactivator.android.jasensei,simple,"com.japanactivator.android.jasensei was classified as good with average confidence 97% across 8 screens. Across these screens, the model recurringly attended to Text components."
com.japanactivator.android.jasensei,detailed,"com.japanactivator.android.jasensei was classified as good with average confidence 97% across 8 screens. Across these screens, the model recurringly attended to Text components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Text (9x), Text Button (5x), Icon (4x). The most influential review words across screens were 'helpful', 'japanese', 'language', 'go-to', and 'comprehensive'. The app belongs to the Education category and was analyzed across 8 screens."
org.nutritionfacts.dailydozen,caption,org.nutritionfacts.dailydozen was classified as good with average confidence 98% across 8 screens.
org.nutritionfacts.dailydozen,simple,"org.nutritionfacts.dailydozen was classified as good with average confidence 98% across 8 screens. Across these screens, the model recurringly attended to Text components."
org.nutritionfacts.dailydozen,detailed,"org.nutritionfacts.dailydozen was classified as good with average confidence 98% across 8 screens. Across these screens, the model recurringly attended to Text components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Text (9x), Icon (5x), Image (4x). The most influential review words across screens were 'great', 'best', 'dozen', 'available', and 'easy'. The app belongs to the Health & Fitness category and was analyzed across 8 screens."
com.abdula.pranabreath,caption,com.abdula.pranabreath was classified as good with average confidence 98% across 7 screens.
com.abdula.pranabreath,simple,"com.abdula.pranabreath was classified as good with average confidence 98% across 7 screens. Across these screens, the model recurringly attended to Text components."
com.abdula.pranabreath,detailed,"com.abdula.pranabreath was classified as good with average confidence 98% across 7 screens. Across these screens, the model recurringly attended to Text components. Per-screen predictions were stable, indicating consistent evidence across the UI. The most recurring salient components were: Text (9x), Text Button (3x), Icon (3x). The most influential review words across screens were 'far', 'updated', 'gold', 'customizable', and 'can't comparisons'. The app belongs to the Health & Fitness category and was analyzed across 7 screens."
com.collectorz.javamobile.android.comics,caption,com.collectorz.javamobile.android.comics was predicted as good with average confidence 98% across 8 screens.
com.collectorz.javamobile.android.comics,simple,"com.collectorz.javamobile.android.comics was predicted as good with average confidence 98% across 8 screens. Across these screens, the model frequently emphasized Text components."
com.collectorz.javamobile.android.comics,detailed,"com.collectorz.javamobile.android.comics was predicted as good with average confidence 98% across 8 screens. Across these screens, the model frequently emphasized Text components. The screens agreed on the prediction, pointing to a coherent signal. The most recurring salient components were: Text (10x), Icon (4x), Text Button (4x). The most influential review words across screens were 'comics', 'great', 'clz', 'collection', and 'covers'. The app belongs to the Comics category and was analyzed across 8 screens."
com.nicedayapps.iss_free,caption,com.nicedayapps.iss_free was classified as good with average confidence 99% across 3 screens.
com.nicedayapps.iss_free,simple,"com.nicedayapps.iss_free was classified as good with average confidence 99% across 3 screens. Across these screens, the model recurringly attended to Text components."
