screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
61036,bad,0,11,cache,Son tan malos que ni si quiera un program de cobro con tarjeta de debito les sirve en mi Pais! 🤦🤦🤦,21,0.0047,0.9912,negative,"Image, Text, Text","▁interface, ▁de, ▁sir",0.00039182434557005763,0.0032555938232690096,0.002863769477698952,0.47886374592781067,1.0,"Image, Text, Text",0.06787032057764009
61036,bad,1,16,cache,"Muy mala App para los hondureños que residen afuera del país, tanto la app como el sitió web de este canal de televisión, están muy mal elaborados. Si no estas en Honduras no puedes tener acceso a los partidos de liga nacional y partidos de la selección nacional, con el muy alto índice de pobreza en Honduras me atrevo a decir que solo el 30 por ciento de la población tiene acceso a Internet y un dispositivo móvil para poder ver dichos partidos y contenido de dicho canal de televisión. Part.1",91,0.0147,0.9628,negative,"Image, Text, Text","▁y, ▁los, idos",0.0005432803882285953,0.004380741156637669,0.0038374607684090734,0.4753207266330719,1.0,"Image, Text, Text",0.0038374607684090734
61036,bad,2,15,cache,No sirve y hasta quieren cobrar por ver partidos que en cualquier se pueden ver gratis hahaha,17,0.0239,0.9569,negative,"Image, Text, Text","▁pueden, ▁interface, ▁No",0.000516925472766161,0.004105998668819666,0.003589073196053505,0.4781460165977478,1.0,"Image, Text, Text",0.003589073196053505
61036,bad,3,9,cache,Yo pago la liga y la app se friza demasiado es inaceptable que cobren por algo tan malo hagan algo para solucionarlo,22,0.04,0.9546,negative,"Image, Text, Text","▁Yo, ago, ▁la",0.000573179975617677,0.0046534487046301365,0.0040802687290124595,0.4708367884159088,1.0,"Image, Text, Text",0.02878543984843418
61036,bad,4,19,cache,Es una desepcion completa esta app!! Quieren cobrar por algo tan malo como la liga Hondureña! Cuando antes a sido gratis?? Cobrenle a los patrocinadores!! La acabo de desistalar!!,29,0.0434,0.9318,negative,"Image, Text, Text","▁La, ▁gratis, ▁interface",0.0005395258776843548,0.004503295756876469,0.003963769879192114,0.47866860032081604,1.0,"Image, Text, Text",0.003963769879192114
61037,bad,0,11,cache,Son tan malos que ni si quiera un program de cobro con tarjeta de debito les sirve en mi Pais! 🤦🤦🤦,21,0.0047,0.9912,negative,"Image, Image, Icon","▁interface, ▁de, ▁sir",0.033434707671403885,0.024855507537722588,0.008579200133681297,0.34327784180641174,1.0,"Image, Text, Text",0.018115771934390068
61037,bad,1,16,cache,"Muy mala App para los hondureños que residen afuera del país, tanto la app como el sitió web de este canal de televisión, están muy mal elaborados. Si no estas en Honduras no puedes tener acceso a los partidos de liga nacional y partidos de la selección nacional, con el muy alto índice de pobreza en Honduras me atrevo a decir que solo el 30 por ciento de la población tiene acceso a Internet y un dispositivo móvil para poder ver dichos partidos y contenido de dicho canal de televisión. Part.1",91,0.0147,0.9628,negative,"Image, Image, Icon","▁y, ▁los, idos",0.044689979404211044,0.03412064537405968,0.010569334030151367,0.34926846623420715,1.0,"Image, Text, Text",0.02324499562382698
61037,bad,2,15,cache,No sirve y hasta quieren cobrar por ver partidos que en cualquier se pueden ver gratis hahaha,17,0.0239,0.9569,negative,"Image, Image, Icon","▁pueden, ▁interface, ▁No",0.045847829431295395,0.03404628112912178,0.011801548302173615,0.2955874502658844,1.0,"Image, Text, Text",0.024165133014321327
61037,bad,3,9,cache,Yo pago la liga y la app se friza demasiado es inaceptable que cobren por algo tan malo hagan algo para solucionarlo,22,0.04,0.9546,negative,"Image, Image, Icon","▁Yo, ago, ▁la",0.05698724836111069,0.04349733889102936,0.01348990947008133,0.3195800185203552,1.0,"Image, Text, Text",0.030429231002926826
61037,bad,4,19,cache,Es una desepcion completa esta app!! Quieren cobrar por algo tan malo como la liga Hondureña! Cuando antes a sido gratis?? Cobrenle a los patrocinadores!! La acabo de desistalar!!,29,0.0434,0.9318,negative,"Image, Image, Icon","▁La, ▁gratis, ▁interface",0.04861021786928177,0.03786402940750122,0.010746188461780548,0.3140491843223572,1.0,"Image, Text, Text",0.025708120316267014
