screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
4470,bad,0,1,cache,Not very good. Not realistic and no control of what styles I wanted to try.,15,0.0147,0.969,negative,"Image, Image, Web View","▁good, ▁Not, ▁interface",0.002890483709052205,0.23294714093208313,0.23005665722303092,0.37339359521865845,1.0,"Image, Web View, Image",0.0068536370526999235
4470,bad,1,8,cache,It was only ads when u put ur picture in the eyes did not match up it was not good dont get the app,24,0.0148,0.9336,negative,"Image, Image, Web View","▁interface, ▁not, ▁up",0.0023996648378670216,0.19855818152427673,0.1961585166864097,0.3854280710220337,1.0,"Image, Web View, Image",0.0056726629845798016
4470,bad,2,0,cache,"I didn't expect much, and still it didn't live up to it. Worst app i have seen, a million pop ups every few seconds, looks like a cartoon and doestn even try to fit it right, would NOT recommend anybody installs this app. Also don't think they got to 1M+ installs legit",52,0.0395,0.9223,negative,"Image, Image, Web View","t, ▁live, ▁it",0.00260474206879735,0.2139468491077423,0.21134210703894496,0.37740185856819153,1.0,"Image, Image, Web View",0.007796551566570997
4470,bad,3,-1,raw,It keeps telling me to select picture all the time and I've done it ! Doesn't even work,18,0.0014,0.9879,negative,"Image, Image, Web View","▁interface, ▁all, ▁It",0.0022698985412716866,0.17982861399650574,0.17755871545523405,0.3874627649784088,1.0,"Image, Web View, Image",0.004803003277629614
4470,bad,4,-1,raw,This game is soooôooooo annoying every time I got on the game ads popped up,15,0.0015,0.9951,negative,"Image, Image, Web View","▁interface, ô, ▁ads",0.0024236342869699,0.1906464397907257,0.1882228055037558,0.3839299976825714,1.0,"Image, Web View, Image",0.005240790080279112
4471,bad,0,1,cache,Not very good. Not realistic and no control of what styles I wanted to try.,15,0.0147,0.969,negative,"Background Image, Icon","▁good, ▁Not, ▁interface",0.001859027543105185,0.12335221469402313,0.12149318715091795,0.3662381172180176,1.0,"Icon, Background Image",0.12149318715091795
4471,bad,1,8,cache,It was only ads when u put ur picture in the eyes did not match up it was not good dont get the app,24,0.0148,0.9336,negative,"Background Image, Icon","▁interface, ▁not, ▁up",0.0016249686013907194,0.11257968842983246,0.11095471982844174,0.3659729063510895,1.0,"Icon, Background Image",0.11095471982844174
4471,bad,2,0,cache,"I didn't expect much, and still it didn't live up to it. Worst app i have seen, a million pop ups every few seconds, looks like a cartoon and doestn even try to fit it right, would NOT recommend anybody installs this app. Also don't think they got to 1M+ installs legit",52,0.0395,0.9223,negative,"Background Image, Icon","t, ▁live, ▁it",0.0020790928974747658,0.12962330877780914,0.12754421588033438,0.35382336378097534,1.0,"Icon, Background Image",0.12754421588033438
4471,bad,3,-1,raw,It keeps telling me to select picture all the time and I've done it ! Doesn't even work,18,0.0014,0.9879,negative,"Background Image, Icon","▁interface, ▁all, ▁It",0.001423098030500114,0.10319584608078003,0.10177274805027992,0.37028488516807556,1.0,"Icon, Background Image",0.10177274805027992
4471,bad,4,-1,raw,This game is soooôooooo annoying every time I got on the game ads popped up,15,0.0015,0.9951,negative,"Background Image, Icon","▁interface, ô, ▁ads",0.0015220744535326958,0.10973048955202103,0.10820841509848833,0.367340624332428,1.0,"Icon, Background Image",0.10820841509848833
4472,bad,0,1,cache,Not very good. Not realistic and no control of what styles I wanted to try.,15,0.0147,0.969,negative,"Text, Icon, Text Button","▁good, ▁Not, ▁interface",0.032238759100437164,0.034892164170742035,0.0026534050703048706,0.39300820231437683,1.0,"Text Button, Icon, Text",0.0026534050703048706
4472,bad,1,8,cache,It was only ads when u put ur picture in the eyes did not match up it was not good dont get the app,24,0.0148,0.9336,negative,"Text, Icon, Text Button","▁interface, ▁not, ▁up",0.02848300337791443,0.030941905453801155,0.0024589020758867264,0.41500571370124817,1.0,"Text Button, Icon, Text",0.0024589020758867264
4472,bad,2,0,cache,"I didn't expect much, and still it didn't live up to it. Worst app i have seen, a million pop ups every few seconds, looks like a cartoon and doestn even try to fit it right, would NOT recommend anybody installs this app. Also don't think they got to 1M+ installs legit",52,0.0395,0.9223,negative,"Text, Icon, Text Button","t, ▁live, ▁it",0.02913781814277172,0.03139650821685791,0.0022586900740861893,0.3605879843235016,1.0,"Text Button, Icon, Text",0.0022586900740861893
4472,bad,3,-1,raw,It keeps telling me to select picture all the time and I've done it ! Doesn't even work,18,0.0014,0.9879,negative,"Text, Icon, Text Button","▁interface, ▁all, ▁It",0.026436805725097656,0.028702663257718086,0.00226585753262043,0.41081440448760986,1.0,"Text Button, Icon, Text",0.00226585753262043
4472,bad,4,-1,raw,This game is soooôooooo annoying every time I got on the game ads popped up,15,0.0015,0.9951,negative,"Text, Icon, Text Button","▁interface, ô, ▁ads",0.02721579745411873,0.029582643881440163,0.002366846427321434,0.4178936183452606,1.0,"Text Button, Icon, Text",0.002366846427321434
4473,bad,0,1,cache,Not very good. Not realistic and no control of what styles I wanted to try.,15,0.0147,0.969,negative,"Text, Image, Image","▁good, ▁Not, ▁interface",0.002783441450446844,0.013795820064842701,0.011012378614395857,0.3728760778903961,1.0,"Text, Image, Image",0.007031004410237074
4473,bad,1,8,cache,It was only ads when u put ur picture in the eyes did not match up it was not good dont get the app,24,0.0148,0.9336,negative,"Text, Image, Image","▁interface, ▁not, ▁up",0.0023041516542434692,0.011105929501354694,0.008801777847111225,0.38038191199302673,1.0,"Text, Image, Image",0.005620420910418034
4473,bad,2,0,cache,"I didn't expect much, and still it didn't live up to it. Worst app i have seen, a million pop ups every few seconds, looks like a cartoon and doestn even try to fit it right, would NOT recommend anybody installs this app. Also don't think they got to 1M+ installs legit",52,0.0395,0.9223,negative,"Text, Image, Image","t, ▁live, ▁it",0.002516908338293433,0.011415239423513412,0.00889833108521998,0.3774194121360779,1.0,"Text, Image, Image",0.007332595298066735
4473,bad,3,-1,raw,It keeps telling me to select picture all the time and I've done it ! Doesn't even work,18,0.0014,0.9879,negative,"Text, Image, Image","▁interface, ▁all, ▁It",0.0021779804956167936,0.010527804493904114,0.00834982399828732,0.3829779326915741,1.0,"Text, Image, Image",0.0052452359814196825
4473,bad,4,-1,raw,This game is soooôooooo annoying every time I got on the game ads popped up,15,0.0015,0.9951,negative,"Text, Image, Image","▁interface, ô, ▁ads",0.0023314328864216805,0.011221162974834442,0.008889730088412762,0.378353476524353,1.0,"Text, Image, Image",0.005601849406957626
