screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
35406,bad,0,0,cache,"Hi... it's not real as mentioned in it . Same app like other app.Every time I have to login and password. I am not getting engine no, chassis no or owners name .",33,0.0045,0.9118,negative,"Input, Text Button, Text Button","s, ▁no, ▁it",0.09115130454301834,0.0605827197432518,0.03056858479976654,0.3148133158683777,1.0,"Web View, Text, Text",0.028140999376773834
35406,bad,1,2,cache,Ads ads ads..!!.this apps is like a middle man sales person.. fcuk all does it do just links u to parivahan and u have to login there,27,0.0284,0.7631,negative,"Input, Text Button, Text Button","▁fc, ▁ads, ▁Ads",0.09880336374044418,0.06589284539222717,0.03291051834821701,0.3225184381008148,1.0,"Web View, Text, Text",0.02899763733148575
35406,bad,2,1,cache,"App is not opening, keeps saying check connectivity while there's nothing wrong with my connection.",15,0.1438,0.5835,negative,"Input, Text Button, Web View","▁connectivity, ▁wrong, ▁interface",0.18192808330059052,0.272489458322525,0.09056137502193451,0.26267147064208984,1.0,"Web View, Text, Text",0.015416592359542847
35406,bad,3,9,cache,"It really works in East U.P. INDIA BUT......NOW....it's a GARBAGE...... SHOWING ------ERROR 500, BAD REQUEST ON_19/01/21 THANKS FOR INSTANT REPLY.... IT'S continuing by the last 4 days. Let me observe ......THANKS",31,0.2439,0.6329,negative,"Input, Text Button, Text Button","▁It, ▁really, ▁INDIA",0.17517752945423126,0.12461578100919724,0.05056174844503403,0.2557070255279541,1.0,"Web View, Text, Text",0.06247381865978241
35406,bad,4,-1,raw,Blowfish is right this app blows. Chucky verification step rubbish. Couldnt even find my vehicle rego.,16,0.0024,0.992,negative,"Input, Text Button, Text Button","▁Blow, ▁blows, ▁re",0.07621406763792038,0.04810374602675438,0.028110321611166,0.3331437110900879,1.0,"Text, Text, Web View",0.015130788087844849
35407,bad,0,0,cache,"Hi... it's not real as mentioned in it . Same app like other app.Every time I have to login and password. I am not getting engine no, chassis no or owners name .",33,0.0045,0.9118,negative,"Text, Image, Text","s, ▁no, ▁it",0.07610182464122772,0.09156841039657593,0.015466585755348206,0.19144515693187714,1.0,"Text, Text, Text",0.003316149115562439
35407,bad,1,2,cache,Ads ads ads..!!.this apps is like a middle man sales person.. fcuk all does it do just links u to parivahan and u have to login there,27,0.0284,0.7631,negative,"Text, Image, Text","▁fc, ▁ads, ▁Ads",0.08327681571245193,0.10281950235366821,0.019542686641216278,0.18887953460216522,1.0,"Text, Text, Text",0.005428306758403778
35407,bad,2,1,cache,"App is not opening, keeps saying check connectivity while there's nothing wrong with my connection.",15,0.1438,0.5835,negative,"Text, Image, Text","▁connectivity, ▁wrong, ▁interface",0.17499622702598572,0.21938645839691162,0.0443902313709259,0.16486085951328278,1.0,"Text, Text, Text",0.058032065629959106
35407,bad,3,9,cache,"It really works in East U.P. INDIA BUT......NOW....it's a GARBAGE...... SHOWING ------ERROR 500, BAD REQUEST ON_19/01/21 THANKS FOR INSTANT REPLY.... IT'S continuing by the last 4 days. Let me observe ......THANKS",31,0.2439,0.6329,negative,"Text, Image, Text","▁It, ▁really, ▁INDIA",0.14718854427337646,0.19385263323783875,0.04666408896446228,0.17393334209918976,1.0,"Text, Text, Text",0.0388132780790329
35407,bad,4,-1,raw,Blowfish is right this app blows. Chucky verification step rubbish. Couldnt even find my vehicle rego.,16,0.0024,0.992,negative,"Text, Image, Text","▁Blow, ▁blows, ▁re",0.06561475992202759,0.07673680782318115,0.011122047901153564,0.19739793241024017,1.0,"Text, Text, Text",0.00014241784811019897
35408,bad,0,0,cache,"Hi... it's not real as mentioned in it . Same app like other app.Every time I have to login and password. I am not getting engine no, chassis no or owners name .",33,0.0045,0.9118,negative,"Icon, Web View","s, ▁no, ▁it",0.0014676123391836882,0.11143024265766144,0.10996263031847775,0.37436002492904663,1.0,"Web View, Icon",0.10996263031847775
35408,bad,1,2,cache,Ads ads ads..!!.this apps is like a middle man sales person.. fcuk all does it do just links u to parivahan and u have to login there,27,0.0284,0.7631,negative,"Icon, Web View","▁fc, ▁ads, ▁Ads",0.0016139231156557798,0.11780143529176712,0.11618751217611134,0.3707449734210968,1.0,"Web View, Icon",0.11618751217611134
