screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
52596,bad,0,10,cache,"Not happy so far. The default settings to subtitles is ridiculous. Every time I turn it on! I go to bed early, so I watch all the evening programs in the selection of episodes. Every one has subtitles! I cannot advance through commercials easily like I used to. And if this site was like 'Netflix' I would have no commercials. What am I paying for? BTW. No Greta or Rob Schmidt in the que!? Mark me disappointed!",77,0.0029,0.9916,negative,"Image, Image, Image","▁early, ▁the, ▁in",0.0012777524534612894,0.001446730108000338,0.00016897765453904867,0.3692300319671631,1.0,"Text, Text, Icon",0.0008050418109633029
52596,bad,1,1,cache,I enjoy the news part of it. I can't stand the breaks. You play the same old clips over and over and over and over and over and over and over and over and over again. I literally can't stand Ronald Reagan anymore because you played that An American Life video 1000 times too many. when you are not playing the annoying American Life videos you play nothing but Kamala Harris ads. it's so annoying that I have stopped watching. Play that stupid Hallmark commercial one more fing time I will delete.,92,0.0053,0.977,negative,"Image, Image, Image","▁part, ▁I, ▁enjoy",0.001470270217396319,0.0016809512162581086,0.0002106809988617897,0.36544835567474365,1.0,"Text, Text, Icon",0.0009180692140944302
52596,bad,2,6,cache,"This app is horrible. Every time this app is used, the app freezes with a lag-loop. The video freezes, and the audio loops back 10 seconds. When the audio reaches the video freeze point, the stream continues. Then, the cycle repeats continuously, every 20 seconds, until the top of the hour when the next program begins. All of the content in between is lost, too. What the hell, people? Fix this !! There are 5 other problems & I don't have enough characters Where's the option to get my $50 back?",91,0.0079,0.9837,negative,"Image, Image, Image","▁content, ▁lost, ▁continues",0.0011615365510806441,0.0012976540019735694,0.00013611745089292526,0.3716903626918793,1.0,"Text, Text, Icon",0.0007373207481577992
52596,bad,3,13,cache,"This is about Newsmax+ - Buffers all the time. After a show is over, get error screen and all sort of gyrations to get back in. You would think if you were going to launch this big change, you would make sure it was of the highest quality. Hope you fix it soon. I've been a Newsmax customer for years, and I don't have an issue paying for the app even if it cost more, if it would just work. Very disappointing.",82,0.0137,0.9699,negative,"Image, Image, Image","▁customer, ▁in, ▁work",0.0014362219953909516,0.001618812559172511,0.00018259056378155947,0.36841121315956116,1.0,"Text, Text, Icon",0.0009042217279784381
52596,bad,4,19,cache,"+1 on frustrating. I thought it was just me, but like many, many other reviewers, the Newsmax app logs me out every day. I use the app on a Firestick. So it is doubly frustrating because I have to use my remote to enter the username and password. Hunt and peck it out. Dear Newsmax, I'm switching back to Fox if you don't get this fixed! Their app is hassle free for me. PS. A compromise would be to save username and password like other apps do. And, my one star is for the app, not the con",98,0.0173,0.9747,negative,"Image, Image, Image","▁is, ▁free, stick",0.001408864976838231,0.001600657938979566,0.000191792962141335,0.3685702383518219,1.0,"Text, Text, Icon",0.0008880402310751379
52597,bad,0,10,cache,"Not happy so far. The default settings to subtitles is ridiculous. Every time I turn it on! I go to bed early, so I watch all the evening programs in the selection of episodes. Every one has subtitles! I cannot advance through commercials easily like I used to. And if this site was like 'Netflix' I would have no commercials. What am I paying for? BTW. No Greta or Rob Schmidt in the que!? Mark me disappointed!",77,0.0029,0.9916,negative,"Text Button, Text Button, Text Button","▁early, ▁the, ▁in",0.045536015182733536,0.5666640400886536,0.52112802490592,0.3207757771015167,1.0,"Text Button, Text Button, Text",0.27552294358611107
52597,bad,1,1,cache,I enjoy the news part of it. I can't stand the breaks. You play the same old clips over and over and over and over and over and over and over and over and over again. I literally can't stand Ronald Reagan anymore because you played that An American Life video 1000 times too many. when you are not playing the annoying American Life videos you play nothing but Kamala Harris ads. it's so annoying that I have stopped watching. Play that stupid Hallmark commercial one more fing time I will delete.,92,0.0053,0.977,negative,"Text Button, Text Button, Text Button","▁part, ▁I, ▁enjoy",0.0592474602162838,0.6637728810310364,0.6045254208147526,0.3259045481681824,1.0,"Text Button, Text Button, Text",0.3540973402559757
52597,bad,2,6,cache,"This app is horrible. Every time this app is used, the app freezes with a lag-loop. The video freezes, and the audio loops back 10 seconds. When the audio reaches the video freeze point, the stream continues. Then, the cycle repeats continuously, every 20 seconds, until the top of the hour when the next program begins. All of the content in between is lost, too. What the hell, people? Fix this !! There are 5 other problems & I don't have enough characters Where's the option to get my $50 back?",91,0.0079,0.9837,negative,"Text Button, Text Button, Text Button","▁content, ▁lost, ▁continues",0.04109907150268555,0.508095383644104,0.46699631214141846,0.3505650460720062,1.0,"Text Button, Text Button, Text",0.23021414875984192
52597,bad,3,13,cache,"This is about Newsmax+ - Buffers all the time. After a show is over, get error screen and all sort of gyrations to get back in. You would think if you were going to launch this big change, you would make sure it was of the highest quality. Hope you fix it soon. I've been a Newsmax customer for years, and I don't have an issue paying for the app even if it cost more, if it would just work. Very disappointing.",82,0.0137,0.9699,negative,"Text Button, Text Button, Text Button","▁customer, ▁in, ▁work",0.05545540153980255,0.6434439420700073,0.5879885405302048,0.32865437865257263,1.0,"Text Button, Text Button, Text",0.3354004770517349
52597,bad,4,19,cache,"+1 on frustrating. I thought it was just me, but like many, many other reviewers, the Newsmax app logs me out every day. I use the app on a Firestick. So it is doubly frustrating because I have to use my remote to enter the username and password. Hunt and peck it out. Dear Newsmax, I'm switching back to Fox if you don't get this fixed! Their app is hassle free for me. PS. A compromise would be to save username and password like other apps do. And, my one star is for the app, not the con",98,0.0173,0.9747,negative,"Text Button, Text Button, Text Button","▁is, ▁free, stick",0.055400773882865906,0.623160719871521,0.5677599459886551,0.3331626057624817,1.0,"Text Button, Text Button, Text",0.3129400163888931
