screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
14422,good,0,0,cache,"The best greeting app in the entire game store. Great selection and they can be uploaded to photos, which most apps will not do!!! That's the reason I keep installing on every new device AND tell my friends. Selection is very good, nice colors and print! Outstanding job developers. Keep adding more great wishes!! I commend your hard work and attention to detail!",63,0.991,0.0014,positive,"Icon, Text Button, Text Button","s, ▁The, ▁Keep",0.9738684892654419,0.9439476728439331,0.02992081642150879,0.5438694357872009,1.0,"Image, Text Button, Icon",0.05165368318557739
14422,good,1,2,cache,This is a very good app if you got someone you want to send a card to it has a very big selection an I recommend it thank you developer,30,0.99,0.0014,positive,"Icon, Text Button, Text Button","▁to, ▁This, ▁very",0.9583709239959717,0.9179323315620422,0.04043859243392944,0.5762904286384583,1.0,"Image, Text Button, Icon",0.08928775787353516
14422,good,2,15,cache,This is my 'go to' application when I want to express myself in a special way.,16,0.9816,0.0045,positive,"Icon, Text Button, Text Button","▁This, ▁interface, ▁to",0.9300534725189209,0.8754028081893921,0.05465066432952881,0.5120756030082703,1.0,"Image, Icon, Text Button",0.17692625522613525
14422,good,3,5,cache,Handy to send a quick greeting when you haven't time to spell out a message.,15,0.981,0.0025,positive,"Icon, Text Button, Text Button","▁Handy, ▁interface, ▁greeting",0.9355762004852295,0.8860388398170471,0.04953736066818237,0.5163441896438599,1.0,"Image, Icon, Text Button",0.14610052108764648
14422,good,4,3,cache,I like your stuff loads to choose from all different sediments from quirky to cute to funny perhaps maybe more funny ones!,22,0.782,0.0604,positive,"Icon, Text Button, Text Button","▁I, ▁like, ▁loads",0.9381937384605408,0.8909705281257629,0.04722321033477783,0.553310215473175,1.0,"Image, Icon, Text Button",0.1261933445930481
14419,good,0,0,cache,"The best greeting app in the entire game store. Great selection and they can be uploaded to photos, which most apps will not do!!! That's the reason I keep installing on every new device AND tell my friends. Selection is very good, nice colors and print! Outstanding job developers. Keep adding more great wishes!! I commend your hard work and attention to detail!",63,0.991,0.0014,positive,"Image, Icon, Icon","s, ▁The, ▁Keep",0.999238133430481,0.764465868473053,0.23477226495742798,0.4816891551017761,1.0,"Icon, Icon, Image",0.23477226495742798
14419,good,1,2,cache,This is a very good app if you got someone you want to send a card to it has a very big selection an I recommend it thank you developer,30,0.99,0.0014,positive,"Image, Icon, Icon","▁to, ▁This, ▁very",0.9984386563301086,0.5237563252449036,0.4746823310852051,0.467741996049881,1.0,"Icon, Icon, Icon",0.005558192729949951
14419,good,2,15,cache,This is my 'go to' application when I want to express myself in a special way.,16,0.9816,0.0045,positive,"Image, Icon, Icon","▁This, ▁interface, ▁to",0.9972434043884277,0.2656250298023224,0.7316183745861053,0.4352741241455078,1.0,"Icon, Icon, Icon",0.010707557201385498
14419,good,3,5,cache,Handy to send a quick greeting when you haven't time to spell out a message.,15,0.981,0.0025,positive,"Image, Icon, Icon","▁Handy, ▁interface, ▁greeting",0.9974015951156616,0.31665369868278503,0.6807478964328766,0.4409399926662445,1.0,"Icon, Icon, Icon",0.009810566902160645
14419,good,4,3,cache,I like your stuff loads to choose from all different sediments from quirky to cute to funny perhaps maybe more funny ones!,22,0.782,0.0604,positive,"Image, Icon, Icon","▁I, ▁like, ▁loads",0.997498095035553,0.41719889640808105,0.5802991986274719,0.4791000783443451,1.0,"Icon, Icon, Icon",0.009152591228485107
