screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
3985,bad,0,19,cache,"Horrible coded app, paywall at every corner for free content, definitely dont recommend. Idk whats up with all these kid apps with paywalls and ads. Stupid.",26,0.0036,0.9852,negative,"Image, Image, Image","▁content, ▁recommend, ▁dont",0.0018828886095434427,0.0010182472178712487,0.000864641391672194,0.47250428795814514,1.0,"Image, Image, Image",0.00118190364446491
3985,bad,1,12,cache,"I don't like these kind of series. Because, my 5 and 2 year old sons are mad at you of what you've been done. I am on an Samsung device and on the Talking Pocoyo 2 and run and fun, it has a Pocoyo House logo and it says to download the Pocoyo House from Play store. Please change it to be normal app without the Pocoyo House logo. Or else, You and the Pocoyo team Will be grounded.",79,0.0058,0.9698,negative,"Image, Image, Image","▁and, ▁kind, ▁store",0.0022806536871939898,0.0011918627424165606,0.001088790944777429,0.44533059000968933,1.0,"Image, Image, Image",0.0014378110063262284
3985,bad,2,2,cache,"The app is terrible. While I do love the show so much because I watched it when I was a baby, I do not like this app. Its terrible because every feature costs money. And not only that but some other Pocoyo apps such as Pocoyo Alphabet & Pocoyo Run & Fun, need to be paid as a monthly subscription in order to use them, So either make some of the features free, or I will never install this app again. If I was able to give this app 0 stars, I would.",93,0.0082,0.984,negative,"Image, Image, Image","▁love, ▁the, ▁Fun",0.002472303342074156,0.001404593582265079,0.0010677097598090768,0.44386252760887146,1.0,"Image, Image, Image",0.0015481722075492144
3985,bad,3,4,cache,This game is such a scam if you plan on getting it for your little one don't its graphics are extremely poor most images or backgrounds are of poorly rendered copy pictures off of Google most of the game cost money it gives you three options that are free and the rest including parental settings cost you to pay for premium which cost R 149.99 a month which is a scam based off of how utterly poor the game looks if I could give this 0 stars I would Especially because pocoyo is such a large title,97,0.0085,0.9841,negative,"Image, Image, Image","▁of, ▁off, ▁based",0.0013968127314001322,0.0007828526431694627,0.0006139600882306695,0.48047152161598206,1.0,"Image, Image, Image",0.0008543092990294099
3985,bad,4,10,cache,Shockingly bad experience. App and module downloads do nothing except to beg for a costly (but poor value) monthly subscription. Talk about dark pattern marketing! But hey it's the Google way.,31,0.0091,0.9667,negative,"Image, Image, Image","▁subscription, ▁experience, ▁hey",0.0021080863662064075,0.0011287820525467396,0.000979304313659668,0.4615040719509125,1.0,"Image, Image, Image",0.0013296926626935601
49921,bad,0,19,cache,"Horrible coded app, paywall at every corner for free content, definitely dont recommend. Idk whats up with all these kid apps with paywalls and ads. Stupid.",26,0.0036,0.9852,negative,"Image, Image, Image","▁content, ▁recommend, ▁dont",0.004134741611778736,0.07111255824565887,0.06697781663388014,0.40081217885017395,1.0,"Image, Icon, Background Image",0.09847474377602339
49921,bad,1,12,cache,"I don't like these kind of series. Because, my 5 and 2 year old sons are mad at you of what you've been done. I am on an Samsung device and on the Talking Pocoyo 2 and run and fun, it has a Pocoyo House logo and it says to download the Pocoyo House from Play store. Please change it to be normal app without the Pocoyo House logo. Or else, You and the Pocoyo team Will be grounded.",79,0.0058,0.9698,negative,"Image, Image, Image","▁and, ▁kind, ▁store",0.005387285724282265,0.1132606789469719,0.10787339322268963,0.3891538083553314,1.0,"Image, Icon, Background Image",0.11734510771930218
49921,bad,2,2,cache,"The app is terrible. While I do love the show so much because I watched it when I was a baby, I do not like this app. Its terrible because every feature costs money. And not only that but some other Pocoyo apps such as Pocoyo Alphabet & Pocoyo Run & Fun, need to be paid as a monthly subscription in order to use them, So either make some of the features free, or I will never install this app again. If I was able to give this app 0 stars, I would.",93,0.0082,0.984,negative,"Image, Image, Image","▁love, ▁the, ▁Fun",0.006001888774335384,0.12562021613121033,0.11961832735687494,0.3860032856464386,1.0,"Image, Icon, Background Image",0.1240086117759347
49921,bad,3,4,cache,This game is such a scam if you plan on getting it for your little one don't its graphics are extremely poor most images or backgrounds are of poorly rendered copy pictures off of Google most of the game cost money it gives you three options that are free and the rest including parental settings cost you to pay for premium which cost R 149.99 a month which is a scam based off of how utterly poor the game looks if I could give this 0 stars I would Especially because pocoyo is such a large title,97,0.0085,0.9841,negative,"Image, Image, Image","▁of, ▁off, ▁based",0.003297732677310705,0.05687645822763443,0.053578725550323725,0.39682427048683167,1.0,"Image, Icon, Background Image",0.09175440529361367
49921,bad,4,10,cache,Shockingly bad experience. App and module downloads do nothing except to beg for a costly (but poor value) monthly subscription. Talk about dark pattern marketing! But hey it's the Google way.,31,0.0091,0.9667,negative,"Image, Image, Image","▁subscription, ▁experience, ▁hey",0.004629962146282196,0.08368974179029465,0.07905977964401245,0.39365121722221375,1.0,"Image, Icon, Background Image",0.1070355474948883
