screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
46848,good,0,6,cache,"The app is a gem & completely underrated. The creators of the app aproached it just right: with elegant minimalism and full health benefits in mind. I'm very happy with this app! It makes me feel good, it helps me with my anxiety. The interface is so simple and yet inviting, and the sounds are so pleasing to the ear, that i look forward to using this app. I'm considering buying a premium version not because i need to or have to , but as a genuine desire to express my appreciation to developers.",94,0.9955,0.0013,positive,"Text Button, Text Button, Text Button","▁benefits, ▁buying, ▁full",0.9929618239402771,0.9865490794181824,0.0064127445220947266,0.5374035835266113,1.0,"Text Button, Text Button, Text Button",0.033816516399383545
46848,good,1,5,cache,"This app more than well worth the one time payment to support the developers. It took a little bit of digging to find that there's a wealth of additional content, updated every so often, at no extra cost. I love this app so much. It really stands out as one of a kind. Highly customizable, intuitive with a beautiful user experience.",61,0.9948,0.0011,positive,"Text Button, Text Button, Text Button","▁a, ▁beautiful, ▁that",0.9920127987861633,0.984570324420929,0.007442474365234375,0.5143585801124573,1.0,"Text Button, Text Button, Text Button",0.039212167263031006
46848,good,2,3,cache,"Extremely impressed. A huge chunk of time had to go into building this app; it has an endless amount of features including a vast library of various pranayama techniques by which to choose from as-is or you can edit them. All of the pranayama styles are directly linked to Wikipedia by means of being directly associated with this particular app. It trains, teaches, keeps track of all your practice sessions, and has an abundance of customization options. HIGHLY recommend. Worth the cost to upgrade",84,0.9904,0.0018,positive,"Text Button, Text Button, Text Button","▁Extremely, ▁techniques, ▁recommend",0.993767499923706,0.9878877997398376,0.005879700183868408,0.531526505947113,1.0,"Text Button, Text Button, Text Button",0.030563294887542725
46848,good,3,16,cache,Gave it a 4 only because I'm only 3 day's in. Really like it so far. Two years in now. This is the only breath pacer that I have used consistently so I can't make comparisons but this one I know. This app is solid gold. The developers are right there when you need them. They listen to the users and make changes based on input. There is a User Wiki available that is comprehensive and regularly updated. Solid Gold.,80,0.99,0.002,positive,"Text Button, Text Button, Text Button","▁that, ▁far, ▁consistently",0.9897462129592896,0.9802877902984619,0.009458422660827637,0.5042957663536072,1.0,"Text Button, Text Button, Text Button",0.05259209871292114
46848,good,4,9,cache,"So far this seems excellent. Huge library of instantly importable exercises, all totally customizable. I have been able to increase my HRV, and decrease HR and breath rate, in a very short time, after a lifetime of bad habits. Zero glitches so far - been using for about a month. ~~~ UPDATE January 2023 Been using this app for five months now. It is excellent. Zero problems, ever. Super user friendly, super customizable, huge inventory of exercises (far more than anyone would ever need).",84,0.9875,0.0015,positive,"Text Button, Text Button, Text Button","▁inventory, ▁huge, ▁exercises",0.9901306629180908,0.981320321559906,0.008810341358184814,0.5038385987281799,1.0,"Text Button, Text Button, Text Button",0.049515724182128906
46846,good,0,6,cache,"The app is a gem & completely underrated. The creators of the app aproached it just right: with elegant minimalism and full health benefits in mind. I'm very happy with this app! It makes me feel good, it helps me with my anxiety. The interface is so simple and yet inviting, and the sounds are so pleasing to the ear, that i look forward to using this app. I'm considering buying a premium version not because i need to or have to , but as a genuine desire to express my appreciation to developers.",94,0.9955,0.0013,positive,"Text, Text, Text","▁benefits, ▁buying, ▁full",0.965154767036438,0.912049412727356,0.05310535430908203,0.41347426176071167,1.0,"Text, Text, Text",0.07069528102874756
46846,good,1,5,cache,"This app more than well worth the one time payment to support the developers. It took a little bit of digging to find that there's a wealth of additional content, updated every so often, at no extra cost. I love this app so much. It really stands out as one of a kind. Highly customizable, intuitive with a beautiful user experience.",61,0.9948,0.0011,positive,"Text, Text, Text","▁a, ▁beautiful, ▁that",0.9565396904945374,0.9034562706947327,0.05308341979980469,0.40064215660095215,1.0,"Text, Text, Text",0.07972657680511475
46846,good,2,3,cache,"Extremely impressed. A huge chunk of time had to go into building this app; it has an endless amount of features including a vast library of various pranayama techniques by which to choose from as-is or you can edit them. All of the pranayama styles are directly linked to Wikipedia by means of being directly associated with this particular app. It trains, teaches, keeps track of all your practice sessions, and has an abundance of customization options. HIGHLY recommend. Worth the cost to upgrade",84,0.9904,0.0018,positive,"Text, Text, Text","▁Extremely, ▁techniques, ▁recommend",0.965217649936676,0.9188989996910095,0.046318650245666504,0.4039163291454315,1.0,"Text, Text, Text",0.07379484176635742
46846,good,3,16,cache,Gave it a 4 only because I'm only 3 day's in. Really like it so far. Two years in now. This is the only breath pacer that I have used consistently so I can't make comparisons but this one I know. This app is solid gold. The developers are right there when you need them. They listen to the users and make changes based on input. There is a User Wiki available that is comprehensive and regularly updated. Solid Gold.,80,0.99,0.002,positive,"Text, Text, Text","▁that, ▁far, ▁consistently",0.9460600018501282,0.8686124086380005,0.07744759321212769,0.39023080468177795,1.0,"Text, Text, Text",0.09715598821640015
46846,good,4,9,cache,"So far this seems excellent. Huge library of instantly importable exercises, all totally customizable. I have been able to increase my HRV, and decrease HR and breath rate, in a very short time, after a lifetime of bad habits. Zero glitches so far - been using for about a month. ~~~ UPDATE January 2023 Been using this app for five months now. It is excellent. Zero problems, ever. Super user friendly, super customizable, huge inventory of exercises (far more than anyone would ever need).",84,0.9875,0.0015,positive,"Text, Text, Text","▁inventory, ▁huge, ▁exercises",0.9441673755645752,0.8610857725143433,0.08308160305023193,0.3887024223804474,1.0,"Text, Text, Text",0.10035085678100586
46849,good,0,6,cache,"The app is a gem & completely underrated. The creators of the app aproached it just right: with elegant minimalism and full health benefits in mind. I'm very happy with this app! It makes me feel good, it helps me with my anxiety. The interface is so simple and yet inviting, and the sounds are so pleasing to the ear, that i look forward to using this app. I'm considering buying a premium version not because i need to or have to , but as a genuine desire to express my appreciation to developers.",94,0.9955,0.0013,positive,"Text, Icon, Image","▁benefits, ▁buying, ▁full",0.9948902130126953,0.9038722515106201,0.0910179615020752,0.5698161125183105,1.0,"Text, Icon, Image",0.4413073658943176
46849,good,1,5,cache,"This app more than well worth the one time payment to support the developers. It took a little bit of digging to find that there's a wealth of additional content, updated every so often, at no extra cost. I love this app so much. It really stands out as one of a kind. Highly customizable, intuitive with a beautiful user experience.",61,0.9948,0.0011,positive,"Text, Icon, Image","▁a, ▁beautiful, ▁that",0.9938596487045288,0.8895248174667358,0.10433483123779297,0.560178279876709,1.0,"Text, Icon, Image",0.4731038808822632
46849,good,2,3,cache,"Extremely impressed. A huge chunk of time had to go into building this app; it has an endless amount of features including a vast library of various pranayama techniques by which to choose from as-is or you can edit them. All of the pranayama styles are directly linked to Wikipedia by means of being directly associated with this particular app. It trains, teaches, keeps track of all your practice sessions, and has an abundance of customization options. HIGHLY recommend. Worth the cost to upgrade",84,0.9904,0.0018,positive,"Text, Icon, Image","▁Extremely, ▁techniques, ▁recommend",0.9950214624404907,0.9056557416915894,0.08936572074890137,0.5726470947265625,1.0,"Text, Icon, Image",0.4324934482574463
46849,good,3,16,cache,Gave it a 4 only because I'm only 3 day's in. Really like it so far. Two years in now. This is the only breath pacer that I have used consistently so I can't make comparisons but this one I know. This app is solid gold. The developers are right there when you need them. They listen to the users and make changes based on input. There is a User Wiki available that is comprehensive and regularly updated. Solid Gold.,80,0.99,0.002,positive,"Text, Icon, Image","▁that, ▁far, ▁consistently",0.9932835102081299,0.8693103194236755,0.12397319078445435,0.5614904761314392,1.0,"Text, Icon, Image",0.5101625621318817
46849,good,4,9,cache,"So far this seems excellent. Huge library of instantly importable exercises, all totally customizable. I have been able to increase my HRV, and decrease HR and breath rate, in a very short time, after a lifetime of bad habits. Zero glitches so far - been using for about a month. ~~~ UPDATE January 2023 Been using this app for five months now. It is excellent. Zero problems, ever. Super user friendly, super customizable, huge inventory of exercises (far more than anyone would ever need).",84,0.9875,0.0015,positive,"Text, Icon, Image","▁inventory, ▁huge, ▁exercises",0.9936416745185852,0.8670300841331482,0.126611590385437,0.5640327334403992,1.0,"Text, Icon, Image",0.5212456285953522
46847,good,0,6,cache,"The app is a gem & completely underrated. The creators of the app aproached it just right: with elegant minimalism and full health benefits in mind. I'm very happy with this app! It makes me feel good, it helps me with my anxiety. The interface is so simple and yet inviting, and the sounds are so pleasing to the ear, that i look forward to using this app. I'm considering buying a premium version not because i need to or have to , but as a genuine desire to express my appreciation to developers.",94,0.9955,0.0013,positive,"Icon, Icon, Image","▁benefits, ▁buying, ▁full",0.9924871921539307,0.9927605390548706,0.0002733469009399414,0.5127512216567993,1.0,"Icon, Icon, Image",0.0015628337860107422
