screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
29684,bad,0,12,cache,"eu tenho bastante problema de conexão com a vivo. Tanto na fibra, quanto nos dados móveis. Assistir F1 no 4g é uma tarefa complicada, as vezes to assistindo e do nada dá erro 404 e tenho que voltar pra página inicial. Quando não fica uma tela de reconectando. Em tela cheia, usando samsung sem aqueles botoes grandes de voltar/home/apps abertos, o app não esconde aquele risco na barra inferior",69,0.0369,0.9527,negative,"Icon, Image, Image","▁quanto, ▁Tan, ▁cone",0.006964978761970997,0.027491183951497078,0.02052620518952608,0.461740642786026,1.0,"Icon, Text, Image",0.07629598211497068
29684,bad,1,13,cache,Pior app de streaming/vídeos que tem. Não tem UMA corrida de F1 que este app não dá problema. Horrível!!,19,0.199,0.734,negative,"Icon, Image, Image","▁de, ▁Pi, ▁app",0.009716442786157131,0.03679630905389786,0.027079866267740726,0.43011674284935,1.0,"Icon, Text, Image",0.12552522961050272
29684,bad,2,0,cache,"I created my account, even if I confirmed my email, it says that my account does not exists. Please fix that. 3 stars because the support seems to be helpful. I hope they fix that, O woll be sending more details by email",43,0.3483,0.5579,negative,"Icon, Image, Image","▁the, ▁because, ▁to",0.011116251349449158,0.04316648095846176,0.032050229609012604,0.4230497181415558,1.0,"Icon, Text, Image",0.1438884139060974
29684,bad,3,15,cache,"Se e pudesse eu dava 0 estrelas, nenhum programa é no horário Certo, principalmente a f1 , que era bem melhor na globo, lá eles passavam Tudo na tv e não tinham essa frescura de aplicativo, agr Todo Mundo é obrigado a assinar o f1 tv pra ver uma corrida de qualidade",52,0.9775,0.011,positive,"Image, Icon, Image","▁interface, to, ▁que",0.015144654549658298,0.06011509150266647,0.044970436953008175,0.40778231620788574,1.0,"Icon, Text, Image",0.15463632997125387
29684,bad,4,-1,raw,"Uma piada de mau gosto esse app. TV aberta gratuita que não dá pra assistir. Aparece a mensagem ""Ops, a atração deste horário não está disponível por aqui, apenas na TV aberta"" Para que serve esse app então se não dá para assistir TV aberta gratuita ao vivo?",48,0.0021,0.9962,negative,"Icon, Image, Image","ação, m, ▁por",0.006361776497215033,0.025494830682873726,0.019133054185658693,0.45925647020339966,1.0,"Icon, Text, Image",0.07373366365209222
29685,bad,0,12,cache,"eu tenho bastante problema de conexão com a vivo. Tanto na fibra, quanto nos dados móveis. Assistir F1 no 4g é uma tarefa complicada, as vezes to assistindo e do nada dá erro 404 e tenho que voltar pra página inicial. Quando não fica uma tela de reconectando. Em tela cheia, usando samsung sem aqueles botoes grandes de voltar/home/apps abertos, o app não esconde aquele risco na barra inferior",69,0.0369,0.9527,negative,"Text, Text Button, Text","▁quanto, ▁Tan, ▁cone",0.05399792641401291,0.002656784141436219,0.05134114227257669,0.31410500407218933,1.0,"Text Button, Text Button, Input",0.0522251179208979
29685,bad,1,13,cache,Pior app de streaming/vídeos que tem. Não tem UMA corrida de F1 que este app não dá problema. Horrível!!,19,0.199,0.734,negative,"Text, Text, Text Button","▁de, ▁Pi, ▁app",0.09254790842533112,0.19953610002994537,0.10698819160461426,0.35305213928222656,1.0,"Text Button, Text Button, Input",0.08961067022755742
29685,bad,2,0,cache,"I created my account, even if I confirmed my email, it says that my account does not exists. Please fix that. 3 stars because the support seems to be helpful. I hope they fix that, O woll be sending more details by email",43,0.3483,0.5579,negative,"Text, Text, Text Button","▁the, ▁because, ▁to",0.11927986890077591,0.2351960390806198,0.1159161701798439,0.3392655551433563,1.0,"Text Button, Text Button, Input",0.11544292396865785
29685,bad,3,15,cache,"Se e pudesse eu dava 0 estrelas, nenhum programa é no horário Certo, principalmente a f1 , que era bem melhor na globo, lá eles passavam Tudo na tv e não tinham essa frescura de aplicativo, agr Todo Mundo é obrigado a assinar o f1 tv pra ver uma corrida de qualidade",52,0.9775,0.011,positive,"Text, Text, Text Button","▁interface, to, ▁que",0.22497175633907318,0.4056508541107178,0.1806790977716446,0.30785849690437317,1.0,"Text Button, Text Button, Input",0.2159409262239933
29685,bad,4,-1,raw,"Uma piada de mau gosto esse app. TV aberta gratuita que não dá pra assistir. Aparece a mensagem ""Ops, a atração deste horário não está disponível por aqui, apenas na TV aberta"" Para que serve esse app então se não dá para assistir TV aberta gratuita ao vivo?",48,0.0021,0.9962,negative,"Text, Text Button, Text","ação, m, ▁por",0.04599827527999878,0.002428928157314658,0.04356934712268412,0.32912254333496094,1.0,"Text Button, Text Button, Input",0.044493114575743675
