screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
69158,bad,0,18,cache,Very inaccurate result always and not have solutions for many problems... PLEASE BELIEVE ME... CHANGE THIS BUG.. 🙏🏼🙏🏼🙏🏼🙏🏼,18,0.002,0.9926,negative,Web View,"▁Very, ▁interface, 🏼",0.012380484491586685,0.15613366663455963,0.14375318214297295,0.4335348904132843,1.0,Web View,0.14375318214297295
69158,bad,1,13,cache,it was so bad i tryed using it on a problem i made myself and then random error pop up which was not the answer.,25,0.0021,0.9946,negative,Web View,"▁up, ▁it, ▁pop",0.016957387328147888,0.18725892901420593,0.17030154168605804,0.3861873745918274,1.0,Web View,0.17030154168605804
69158,bad,2,6,cache,"This is a horrible app it will just give you random letters and numbers, would not recommend this to anyone, I would give this app zero stars if I could.",30,0.0036,0.9868,negative,Web View,"▁not, ▁would, ▁numbers",0.016002396121621132,0.18773233890533447,0.17172994278371334,0.3939013183116913,1.0,Web View,0.17172994278371334
69158,bad,3,17,cache,why when I press in the middle then it sounds and it goes back to where I downloaded it then I don't know what's good about this app why did I download it it's just wasting my time,38,0.0069,0.9278,negative,Web View,"▁it, ▁wasting, ▁don",0.020312150940299034,0.20514096319675446,0.18482881225645542,0.3773437440395355,1.0,Web View,0.18482881225645542
69158,bad,4,4,cache,"This app didn't help me, it gave me a way different answer than the Multiplication on the paper I have, please fix this app to help with all kinds of math and not just Algebra, or whatever kind of math that was",42,0.0072,0.9824,negative,Web View,"▁kinds, ▁and, ▁Algebra",0.03091924637556076,0.2511235475540161,0.22020430117845535,0.35641127824783325,1.0,Web View,0.22020430117845535
69160,bad,0,18,cache,Very inaccurate result always and not have solutions for many problems... PLEASE BELIEVE ME... CHANGE THIS BUG.. 🙏🏼🙏🏼🙏🏼🙏🏼,18,0.002,0.9926,negative,"Image, Image, Text","▁Very, ▁interface, 🏼",0.0004191804910078645,0.0003608168044593185,5.8363686548545957e-05,0.4638274908065796,1.0,"Icon, Image, Image",0.0002155783586204052
69160,bad,1,13,cache,it was so bad i tryed using it on a problem i made myself and then random error pop up which was not the answer.,25,0.0021,0.9946,negative,"Image, Image, Text","▁up, ▁it, ▁pop",0.0005252988776192069,0.0004726741462945938,5.2624731324613094e-05,0.4590185582637787,1.0,"Icon, Image, Image",0.00030322582460939884
69160,bad,2,6,cache,"This is a horrible app it will just give you random letters and numbers, would not recommend this to anyone, I would give this app zero stars if I could.",30,0.0036,0.9868,negative,"Image, Image, Text","▁not, ▁would, ▁numbers",0.0005033751367591321,0.0004721108125522733,3.126432420685887e-05,0.4613184928894043,1.0,"Icon, Image, Image",0.00032599508995190263
69160,bad,3,17,cache,why when I press in the middle then it sounds and it goes back to where I downloaded it then I don't know what's good about this app why did I download it it's just wasting my time,38,0.0069,0.9278,negative,"Image, Image, Text","▁it, ▁wasting, ▁don",0.0005519308033399284,0.0005315605667419732,2.0370236597955227e-05,0.4593612551689148,1.0,"Icon, Image, Image",0.00038265238981693983
69160,bad,4,4,cache,"This app didn't help me, it gave me a way different answer than the Multiplication on the paper I have, please fix this app to help with all kinds of math and not just Algebra, or whatever kind of math that was",42,0.0072,0.9824,negative,"Image, Image, Text","▁kinds, ▁and, ▁Algebra",0.0008311372948810458,0.0008618264691904187,3.06891743093729e-05,0.4505293071269989,1.0,"Icon, Image, Image",0.0007000538753345609
69161,bad,0,18,cache,Very inaccurate result always and not have solutions for many problems... PLEASE BELIEVE ME... CHANGE THIS BUG.. 🙏🏼🙏🏼🙏🏼🙏🏼,18,0.002,0.9926,negative,"Icon, Web View","▁Very, ▁interface, 🏼",0.031844042241573334,0.10373283177614212,0.07188878953456879,0.29115912318229675,1.0,"Icon, Web View",0.07188878953456879
69161,bad,1,13,cache,it was so bad i tryed using it on a problem i made myself and then random error pop up which was not the answer.,25,0.0021,0.9946,negative,"Icon, Web View","▁up, ▁it, ▁pop",0.0457862913608551,0.12104995548725128,0.07526366412639618,0.28057312965393066,1.0,"Icon, Web View",0.07526366412639618
69161,bad,2,6,cache,"This is a horrible app it will just give you random letters and numbers, would not recommend this to anyone, I would give this app zero stars if I could.",30,0.0036,0.9868,negative,"Icon, Web View","▁not, ▁would, ▁numbers",0.044244419783353806,0.11711271852254868,0.07286829873919487,0.27547183632850647,1.0,"Icon, Web View",0.07286829873919487
69161,bad,3,17,cache,why when I press in the middle then it sounds and it goes back to where I downloaded it then I don't know what's good about this app why did I download it it's just wasting my time,38,0.0069,0.9278,negative,"Icon, Web View","▁it, ▁wasting, ▁don",0.05683575198054314,0.13109450042247772,0.07425874844193459,0.27139919996261597,1.0,"Icon, Web View",0.07425874844193459
69161,bad,4,4,cache,"This app didn't help me, it gave me a way different answer than the Multiplication on the paper I have, please fix this app to help with all kinds of math and not just Algebra, or whatever kind of math that was",42,0.0072,0.9824,negative,"Icon, Web View","▁kinds, ▁and, ▁Algebra",0.09337250143289566,0.1614457070827484,0.06807320564985275,0.24870267510414124,1.0,"Icon, Web View",0.06807320564985275
69162,bad,0,18,cache,Very inaccurate result always and not have solutions for many problems... PLEASE BELIEVE ME... CHANGE THIS BUG.. 🙏🏼🙏🏼🙏🏼🙏🏼,18,0.002,0.9926,negative,"Text, Image, Image","▁Very, ▁interface, 🏼",0.004159772302955389,0.04985222592949867,0.04569245362654328,0.45405709743499756,1.0,"Image, Image, Text",0.04569245362654328
69162,bad,1,13,cache,it was so bad i tryed using it on a problem i made myself and then random error pop up which was not the answer.,25,0.0021,0.9946,negative,"Text, Image, Image","▁up, ▁it, ▁pop",0.005498779006302357,0.07089606672525406,0.0653972877189517,0.4470292627811432,1.0,"Image, Image, Text",0.0653972877189517
69162,bad,2,6,cache,"This is a horrible app it will just give you random letters and numbers, would not recommend this to anyone, I would give this app zero stars if I could.",30,0.0036,0.9868,negative,"Text, Image, Image","▁not, ▁would, ▁numbers",0.005313583184033632,0.06469323486089706,0.05937965167686343,0.4494532644748688,1.0,"Image, Image, Text",0.05937965167686343
69162,bad,3,17,cache,why when I press in the middle then it sounds and it goes back to where I downloaded it then I don't know what's good about this app why did I download it it's just wasting my time,38,0.0069,0.9278,negative,"Text, Image, Image","▁it, ▁wasting, ▁don",0.006509704515337944,0.08141002058982849,0.07490031607449055,0.44529440999031067,1.0,"Image, Image, Text",0.07490031607449055
