screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
64535,good,0,8,cache,"Great App. Extremely easy to navigate between Bible books, chapters, and verses. Font and line spacing can be quickly enlarged for those who may have difficulty reading small font. App allows one to highlight passages, and it reads passages for the reader. Information is for the ad free version.",49,0.9877,0.0025,positive,"Text, Text, Text Button","▁free, ▁Great, ▁font",0.9963982105255127,0.9948803186416626,0.0015178918838500977,0.48213592171669006,1.0,"Input, Icon, Text",0.0006046295166015625
64535,good,1,16,cache,"The app is my every day companion, makes bible reading and study easy. I also take a lot of notes with is t. I am on a journey presently and I didn't have to add the weight of a physical bible to my already overweight luggage. I am totally satisfied with it. Thanks for an excellent resource",57,0.9856,0.0027,positive,"Text, Text, Text Button","▁The, ▁luggage, ▁notes",0.9973043203353882,0.9960825443267822,0.001221776008605957,0.4864978492259979,1.0,"Input, Icon, Text",0.0005186796188354492
64535,good,2,18,cache,"I am blessed to find this devotional app. It really elaborate more insight to each scripture used each day.Also an amazing thing I have noticed personally is that every scriptures used daily, truthful speaks to me and fit the moment (eg. Let say what I am going through at that point in time that I'm led to read or what I read may pop up sometime through the day etc)....I don't know how but it happens often. I really appreciate and enjoy reading this devotional messages always. God bless you.",90,0.985,0.0018,positive,"Text, Text, Text Button","▁blessed, ▁sometime, ▁etc",0.9963280558586121,0.9947000741958618,0.0016279816627502441,0.48015064001083374,1.0,"Input, Icon, Text",0.0005503296852111816
64535,good,3,5,cache,"This is a ""must have"" app for Christian's who want a serious devotional life that will nurture them towards the direction of Christian maturity. I've been reading these devotional for a good three years before I ever downloaded this app. Although the language might be a bit difficult for some, with a little struggle, the benefits reaped far outweigh the time it takes to understand the days entry. A wonderful app and I highly recommend it!",76,0.9837,0.0045,positive,"Text, Text, Text Button","▁This, ▁recommend, ▁a",0.9964765906333923,0.9947637319564819,0.0017128586769104004,0.48138007521629333,1.0,"Input, Icon, Icon",7.778406143188477e-05
64535,good,4,3,cache,"The app is excellent; just needs one thing, a method to get from the devotional material to the Bible without having to go back to the Books of the Bible menu each time. 12/30/2020 - I'm still pleased with this app. It always appears to speak to my heart the areas that the Spirit of God is currently directing me. Also, I found the button to go from the devotional to the Bible Reference without having to go the Books of the Bible menu. Keep up the good work in publishing The Good News",94,0.9778,0.0044,positive,"Text, Text, Text Button","▁material, ▁to, ▁The",0.9970170259475708,0.9956014156341553,0.0014156103134155273,0.4867698848247528,1.0,"Input, Icon, Text",0.0005905032157897949
64534,good,0,8,cache,"Great App. Extremely easy to navigate between Bible books, chapters, and verses. Font and line spacing can be quickly enlarged for those who may have difficulty reading small font. App allows one to highlight passages, and it reads passages for the reader. Information is for the ad free version.",49,0.9877,0.0025,positive,"Web View, Text, Icon","▁free, ▁Great, ▁font",0.8894627094268799,0.2552220821380615,0.6342406272888184,0.5524125099182129,1.0,"Web View, Text Button, Icon",0.7314639538526535
64534,good,1,16,cache,"The app is my every day companion, makes bible reading and study easy. I also take a lot of notes with is t. I am on a journey presently and I didn't have to add the weight of a physical bible to my already overweight luggage. I am totally satisfied with it. Thanks for an excellent resource",57,0.9856,0.0027,positive,"Web View, Text, Icon","▁The, ▁luggage, ▁notes",0.9125658273696899,0.33484143018722534,0.5777243971824646,0.5835859179496765,1.0,"Web View, Text Button, Icon",0.6770521551370621
64534,good,2,18,cache,"I am blessed to find this devotional app. It really elaborate more insight to each scripture used each day.Also an amazing thing I have noticed personally is that every scriptures used daily, truthful speaks to me and fit the moment (eg. Let say what I am going through at that point in time that I'm led to read or what I read may pop up sometime through the day etc)....I don't know how but it happens often. I really appreciate and enjoy reading this devotional messages always. God bless you.",90,0.985,0.0018,positive,"Web View, Text, Text Button","▁blessed, ▁sometime, ▁etc",0.8794652819633484,0.21689485013484955,0.6625704318284988,0.5898754596710205,1.0,"Web View, Icon, Icon",0.820474699139595
64534,good,3,5,cache,"This is a ""must have"" app for Christian's who want a serious devotional life that will nurture them towards the direction of Christian maturity. I've been reading these devotional for a good three years before I ever downloaded this app. Although the language might be a bit difficult for some, with a little struggle, the benefits reaped far outweigh the time it takes to understand the days entry. A wonderful app and I highly recommend it!",76,0.9837,0.0045,positive,"Web View, Text, Icon","▁This, ▁recommend, ▁a",0.8827983140945435,0.2479301393032074,0.6348681747913361,0.5941293835639954,1.0,"Web View, Text Button, Icon",0.7214230895042419
64534,good,4,3,cache,"The app is excellent; just needs one thing, a method to get from the devotional material to the Bible without having to go back to the Books of the Bible menu each time. 12/30/2020 - I'm still pleased with this app. It always appears to speak to my heart the areas that the Spirit of God is currently directing me. Also, I found the button to go from the devotional to the Bible Reference without having to go the Books of the Bible menu. Keep up the good work in publishing The Good News",94,0.9778,0.0044,positive,"Text, Web View, Icon","▁material, ▁to, ▁The",0.9004343748092651,0.3103256821632385,0.5901086926460266,0.5345155596733093,1.0,"Web View, Text Button, Icon",0.695685088634491
