screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
18751,good,0,13,cache,"Excellent app! This has been an awesome introduction to yoga for me, it's private, at your own pace, peaceful, engaging! The UI is super easy and intuitive, really a blessing! For anyone wanting to get into yoga it's a great no pressure place to start that also helps to keep you on track with a schedule. I HIGHLY recommended it!",60,0.9964,0.0009,positive,"Text Button, Text Button, Text Button","▁introduction, ▁keep, ▁start",0.8706470727920532,0.9051439762115479,0.03449690341949463,0.43054506182670593,1.0,"Text Button, Text, Text Button",0.33478403091430664
18751,good,1,1,cache,"I'm really enjoying using this app. It makes doing yoga very convenient, and let's face it, it's way more likely that you'll form a new habit if you make out convenient. The routines that I've tried so far are great. It's been a few months and I am so grateful for this app! It really makes yoga accessible. I like that I can look over the poses in each routine and select what I feel suits my needs and energy level for the day.",84,0.9931,0.0012,positive,"Text Button, Text Button, Text Button","▁in, ▁poses, m",0.8922610878944397,0.921212375164032,0.028951287269592285,0.4355510473251343,1.0,"Text Button, Text, Text Button",0.28691375255584717
18751,good,2,12,cache,"Really good app. Comes with videos and step-by-step instructions on individual poses, including advanced techniques, and it even tells you when you shouldn't do certain poses (which a doctor will probably recommend studying before doing the complete excercise), and you can see all of this just by tapping on whatever pose after picking a class to either browse or are interested in doing it. I'd say this is a well rounded and complete app as the classes cover just about everything. 5 stars!",83,0.9881,0.0017,positive,"Text Button, Text Button, Text","▁Really, ▁or, ▁are",0.8857738375663757,0.887391984462738,0.0016181468963623047,0.43126675486564636,1.0,"Text Button, Text, Text Button",0.3079092502593994
18751,good,3,14,cache,I think this application is great. Update. It has been 4 years since i downloaded this app and i still love it. I have recommended this app to numerous of my friends who have found it useful to learn or practice yoga. I am looking forward to any new trainings that they put out . It allows you to kearn the new pay workouts through earning points by using the options available! Such a great idea! And the routines are great for all levels! Work you way up. Update 6.5 years. Love it even more!!!,95,0.9875,0.0014,positive,"Text Button, Text Button, Text","▁great, ▁workouts, ▁I",0.8913388252258301,0.8942228555679321,0.0028840303421020508,0.47635984420776367,1.0,"Text Button, Text, Text Button",0.25908488035202026
18751,good,4,7,cache,"I've been doing yoga on and off for 15 years or so. I've always used videos and books. This app can take their place! Mostly I like the timing on each pose, plenty to get set, 'hold feel, flow'...vs ""flip flop criss cross too fast' by many way more limber models than I. Reminders are great! Best yoga app ever...even motivated my procrastinator wife!",64,0.9806,0.0036,positive,"Text Button, Text Button, Text Button","▁on, ▁I, ▁interface",0.8080180287361145,0.8636005520820618,0.055582523345947266,0.3732210397720337,1.0,"Text Button, Text Button, Text",0.3792721927165985
18750,good,0,13,cache,"Excellent app! This has been an awesome introduction to yoga for me, it's private, at your own pace, peaceful, engaging! The UI is super easy and intuitive, really a blessing! For anyone wanting to get into yoga it's a great no pressure place to start that also helps to keep you on track with a schedule. I HIGHLY recommended it!",60,0.9964,0.0009,positive,"Text Button, Text Button, Text","▁introduction, ▁keep, ▁start",0.9535677433013916,0.8184100389480591,0.13515770435333252,0.5763642191886902,1.0,"Text Button, Text, Text",0.1763332486152649
18750,good,1,1,cache,"I'm really enjoying using this app. It makes doing yoga very convenient, and let's face it, it's way more likely that you'll form a new habit if you make out convenient. The routines that I've tried so far are great. It's been a few months and I am so grateful for this app! It really makes yoga accessible. I like that I can look over the poses in each routine and select what I feel suits my needs and energy level for the day.",84,0.9931,0.0012,positive,"Text Button, Text Button, Text","▁in, ▁poses, m",0.9587363004684448,0.8450937867164612,0.11364251375198364,0.5800918936729431,1.0,"Text Button, Text, Text",0.1462463140487671
18750,good,2,12,cache,"Really good app. Comes with videos and step-by-step instructions on individual poses, including advanced techniques, and it even tells you when you shouldn't do certain poses (which a doctor will probably recommend studying before doing the complete excercise), and you can see all of this just by tapping on whatever pose after picking a class to either browse or are interested in doing it. I'd say this is a well rounded and complete app as the classes cover just about everything. 5 stars!",83,0.9881,0.0017,positive,"Text Button, Text Button, Text","▁Really, ▁or, ▁are",0.9584515690803528,0.8328803777694702,0.12557119131088257,0.5628443956375122,1.0,"Text Button, Text Button, Text Button",0.05487978458404541
18750,good,3,14,cache,I think this application is great. Update. It has been 4 years since i downloaded this app and i still love it. I have recommended this app to numerous of my friends who have found it useful to learn or practice yoga. I am looking forward to any new trainings that they put out . It allows you to kearn the new pay workouts through earning points by using the options available! Such a great idea! And the routines are great for all levels! Work you way up. Update 6.5 years. Love it even more!!!,95,0.9875,0.0014,positive,"Text Button, Text Button, Text","▁great, ▁workouts, ▁I",0.9567111730575562,0.8537798523902893,0.10293132066726685,0.5654889941215515,1.0,"Text Button, Text, Text",0.13638287782669067
18750,good,4,7,cache,"I've been doing yoga on and off for 15 years or so. I've always used videos and books. This app can take their place! Mostly I like the timing on each pose, plenty to get set, 'hold feel, flow'...vs ""flip flop criss cross too fast' by many way more limber models than I. Reminders are great! Best yoga app ever...even motivated my procrastinator wife!",64,0.9806,0.0036,positive,"Text Button, Text Button, Text","▁on, ▁I, ▁interface",0.9340512752532959,0.7648356556892395,0.1692156195640564,0.5435705780982971,1.0,"Text, Text, Text Button",0.2383263111114502
