screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
30280,bad,0,19,cache,It sucks. The app doesnt work. It has too many pop up ads.  Please save your time n do not bother to download at all,25,0.0278,0.931,negative,"Image, Image, Web View","▁not, ▁work, ▁doesnt",0.04088909924030304,0.06466242671012878,0.023773327469825745,0.23186689615249634,1.0,"Image, Image, Image",0.017644941806793213
30280,bad,1,-1,raw,Don't use this its out of Bangladesh and they are the ones tracking numbers. Beware!,15,0.0015,0.9858,negative,"Image, Image, Web View","▁interface, ▁Don, ▁out",0.03288531303405762,0.049003321677446365,0.016118008643388748,0.25761494040489197,1.0,"Image, Image, Image",0.013826161623001099
30280,bad,2,-1,raw,This app does not recognise user migration from one USP to another. Of one has migrated from Vodafone to Airtel with the same mobile no. the app would report the USP as Airtel.,33,0.0016,0.9926,negative,"Image, Image, Web View","▁no, ▁to, ▁with",0.045938342809677124,0.07660762965679169,0.030669286847114563,0.22010020911693573,1.0,"Image, Image, Image",0.024602331221103668
30280,bad,3,-1,raw,Pl. Research a new system ie if we will call to any bodies  an opposite party is where ? at on line calling. Because 80% users are lying about place status declaration.,32,0.0018,0.9766,negative,"Image, Image, Web View","▁Pl, ▁interface, ▁Research",0.034470174461603165,0.054166290909051895,0.01969611644744873,0.2311551570892334,1.0,"Image, Image, Image",0.015392996370792389
30280,bad,4,-1,raw,"I don't understand this application cause its showing what I don't understand, not even in English.",16,0.0018,0.9857,negative,"Image, Image, Web View","▁I, ▁interface, ▁don",0.03496285527944565,0.05369415134191513,0.018731296062469482,0.2554132342338562,1.0,"Image, Image, Image",0.01633507013320923
30281,bad,0,19,cache,It sucks. The app doesnt work. It has too many pop up ads.  Please save your time n do not bother to download at all,25,0.0278,0.931,negative,"Text, Text, Text","▁not, ▁work, ▁doesnt",0.012135936878621578,0.025662215426564217,0.013526278547942638,0.4268292486667633,1.0,"Text, Text, Text",0.013526278547942638
30281,bad,1,-1,raw,Don't use this its out of Bangladesh and they are the ones tracking numbers. Beware!,15,0.0015,0.9858,negative,"Text, Text, Text","▁interface, ▁Don, ▁out",0.011074296198785305,0.02410859428346157,0.013034298084676266,0.40357670187950134,1.0,"Text, Text, Text",0.013034298084676266
30281,bad,2,-1,raw,This app does not recognise user migration from one USP to another. Of one has migrated from Vodafone to Airtel with the same mobile no. the app would report the USP as Airtel.,33,0.0016,0.9926,negative,"Text, Text, Text","▁no, ▁to, ▁with",0.016849668696522713,0.03949147090315819,0.022641802206635475,0.3904869556427002,1.0,"Text, Text, Text",0.022641802206635475
30281,bad,3,-1,raw,Pl. Research a new system ie if we will call to any bodies  an opposite party is where ? at on line calling. Because 80% users are lying about place status declaration.,32,0.0018,0.9766,negative,"Text, Text, Text","▁Pl, ▁interface, ▁Research",0.010711196810007095,0.02398577332496643,0.013274576514959335,0.40979230403900146,1.0,"Text, Text, Text",0.013274576514959335
30281,bad,4,-1,raw,"I don't understand this application cause its showing what I don't understand, not even in English.",16,0.0018,0.9857,negative,"Text, Text, Text","▁I, ▁interface, ▁don",0.011976656503975391,0.026600588113069534,0.014623931609094143,0.4034310579299927,1.0,"Text, Text, Text",0.014623931609094143
30282,bad,0,19,cache,It sucks. The app doesnt work. It has too many pop up ads.  Please save your time n do not bother to download at all,25,0.0278,0.931,negative,"Web View, Icon","▁not, ▁work, ▁doesnt",0.052245527505874634,0.09262439608573914,0.0403788685798645,0.2124522477388382,1.0,"Web View, Icon",0.0403788685798645
30282,bad,1,-1,raw,Don't use this its out of Bangladesh and they are the ones tracking numbers. Beware!,15,0.0015,0.9858,negative,"Web View, Icon","▁interface, ▁Don, ▁out",0.03842455521225929,0.07992685586214066,0.04150230064988136,0.2287687212228775,1.0,"Web View, Icon",0.04150230064988136
30282,bad,2,-1,raw,This app does not recognise user migration from one USP to another. Of one has migrated from Vodafone to Airtel with the same mobile no. the app would report the USP as Airtel.,33,0.0016,0.9926,negative,"Web View, Icon","▁no, ▁to, ▁with",0.07754640281200409,0.11112552136182785,0.03357911854982376,0.19488079845905304,1.0,"Web View, Icon",0.03357911854982376
30282,bad,3,-1,raw,Pl. Research a new system ie if we will call to any bodies  an opposite party is where ? at on line calling. Because 80% users are lying about place status declaration.,32,0.0018,0.9766,negative,"Web View, Icon","▁Pl, ▁interface, ▁Research",0.03596112132072449,0.08265257626771927,0.04669145494699478,0.22409158945083618,1.0,"Web View, Icon",0.04669145494699478
30282,bad,4,-1,raw,"I don't understand this application cause its showing what I don't understand, not even in English.",16,0.0018,0.9857,negative,"Web View, Icon","▁I, ▁interface, ▁don",0.044996682554483414,0.08612044900655746,0.04112376645207405,0.22175106406211853,1.0,"Web View, Icon",0.04112376645207405
